cod_provincia,provincia,anio,tasa_actividad,tasa_paro,tasa_empleo,trimestres_disponibles
10,Cáceres,2006,51.15,11.1525,45.4475,4
10,Cáceres,2007,51.74,11.165,45.9525,4
10,Cáceres,2008,51.34,14.502500000000001,43.9025,4
10,Cáceres,2009,50.542500000000004,19.357499999999998,40.7575,4
10,Cáceres,2010,51.455,21.18,40.557500000000005,4
10,Cáceres,2011,51.6075,21.4975,40.5,4
10,Cáceres,2012,52.97,31.7875,36.129999999999995,4
10,Cáceres,2013,54.9225,32.955,36.83,4
10,Cáceres,2014,54.975,27.315,39.9675,4
10,Cáceres,2015,54.64,27.115000000000002,39.815,4
10,Cáceres,2016,53.07,23.545,40.57,4
10,Cáceres,2017,52.985,22.79,40.91,4
10,Cáceres,2018,54.155,20.4825,43.065,4
10,Cáceres,2019,54.485,19.945,43.62,4
10,Cáceres,2020,54.085,20.4075,43.05,4
10,Cáceres,2021,52.97,19.61,42.6075,4
10,Cáceres,2022,52.6025,16.7775,43.7725,4
10,Cáceres,2023,52.7525,14.94,44.8525,4
10,Cáceres,2024,52.2625,15.7125,44.0525,4
10,Cáceres,2025,54.22,15.4375,45.84,4
10,Cáceres,2026,52.95,13.03,46.05,1
11,Cádiz,2002,53.4525,27.075,38.985,4
11,Cádiz,2003,52.135,23.2525,40.0075,4
11,Cádiz,2004,53.175,22.7775,41.065,4
11,Cádiz,2005,54.4825,17.64,44.875,4
11,Cádiz,2006,54.41,15.3475,46.0475,4
11,Cádiz,2007,55.4325,15.02,47.105000000000004,4
11,Cádiz,2008,56.365,19.235,45.525,4
11,Cádiz,2009,56.64,26.79,41.4675,4
11,Cádiz,2010,57.3425,30.57,39.815,4
11,Cádiz,2011,57.4625,32.525,38.7775,4
11,Cádiz,2012,57.8775,36.3775,36.822500000000005,4
11,Cádiz,2013,57.2025,39.615,34.552499999999995,4
11,Cádiz,2014,57.9425,42.3075,33.4275,4
11,Cádiz,2015,57.575,38.32,35.5125,4
11,Cádiz,2016,56.945,34.3925,37.365,4
11,Cádiz,2017,55.915000000000006,30.28,38.98,4
11,Cádiz,2018,54.75,27.545,39.675000000000004,4
11,Cádiz,2019,54.7575,24.9025,41.13,4
11,Cádiz,2020,53.4375,22.9325,41.165,4
11,Cádiz,2021,55.120000000000005,25.7925,40.9225,4
11,Cádiz,2022,53.945,23.4675,41.3025,4
11,Cádiz,2023,54.975,22.255,42.74,4
11,Cádiz,2024,54.7625,20.9725,43.292500000000004,4
11,Cádiz,2025,53.6625,18.725,43.6275,4
11,Cádiz,2026,54.33,21,42.92,1
12,Castellón/Castelló,2002,56.682500000000005,5.324999999999999,53.665,4
12,Castellón/Castelló,2003,57.8975,6.7625,53.9775,4
12,Castellón/Castelló,2004,58.035,8.52,53.1,4
12,Castellón/Castelló,2005,61.195,7.4775,56.6325,4
12,Castellón/Castelló,2006,60.9025,6.2575,57.09,4
12,Castellón/Castelló,2007,61.1975,6.8025,57.035000000000004,4
12,Castellón/Castelló,2008,62.712500000000006,10.684999999999999,56.0125,4
12,Castellón/Castelló,2009,62.4225,19.634999999999998,50.1625,4
12,Castellón/Castelló,2010,61.605000000000004,23.9025,46.879999999999995,4
12,Castellón/Castelló,2011,60.545,25.965,44.825,4
12,Castellón/Castelló,2012,60.0125,27.189999999999998,43.695,4
12,Castellón/Castelló,2013,60.2675,29.125,42.7175,4
12,Castellón/Castelló,2014,60.2275,27.0825,43.92,4
12,Castellón/Castelló,2015,59.1975,22.5025,45.8575,4
12,Castellón/Castelló,2016,56.8625,19.4975,45.7775,4
12,Castellón/Castelló,2017,56.769999999999996,16.7225,47.29,4
12,Castellón/Castelló,2018,57.93,15.525,48.935,4
12,Castellón/Castelló,2019,58.0775,13.7525,50.095,4
12,Castellón/Castelló,2020,57.9675,14.285,49.69,4
12,Castellón/Castelló,2021,57.129999999999995,13.8225,49.2275,4
12,Castellón/Castelló,2022,56.91,12.1875,49.9825,4
12,Castellón/Castelló,2023,56.0175,14.7575,47.7525,4
12,Castellón/Castelló,2024,58.945,13.6525,50.905,4
12,Castellón/Castelló,2025,60.455,11.1175,53.7275,4
12,Castellón/Castelló,2026,59.05,12.19,51.85,1
13,Ciudad Real,2002,48.042500000000004,9.395,43.535,4
13,Ciudad Real,2003,49.8275,11.0525,44.32,4
13,Ciudad Real,2004,49.4775,9.6625,44.6775,4
13,Ciudad Real,2005,52.205,10.65,46.650000000000006,4
13,Ciudad Real,2006,53.09,10.9275,47.292500000000004,4
13,Ciudad Real,2007,53.3725,9.27,48.425,4
13,Ciudad Real,2008,54.7,13.505,47.3025,4
13,Ciudad Real,2009,55.769999999999996,19.8,44.72,4
13,Ciudad Real,2010,56.4025,22.2275,43.855000000000004,4
13,Ciudad Real,2011,55.832499999999996,23.84,42.5175,4
13,Ciudad Real,2012,55.75,31.0675,38.4275,4
