cod_provincia,provincia,anio,precio_vivienda_libre_eur_m2,trimestres_disponibles
10,Cáceres,2000,498.375,4
10,Cáceres,2001,565.125,4
10,Cáceres,2002,624.675,4
10,Cáceres,2003,691.625,4
10,Cáceres,2004,787.4,4
10,Cáceres,2005,899.725,4
10,Cáceres,2006,948.675,4
10,Cáceres,2007,981.05,4
10,Cáceres,2008,982.425,4
10,Cáceres,2009,954.075,4
10,Cáceres,2010,965.525,4
10,Cáceres,2011,1029.15,4
10,Cáceres,2012,936.2,4
10,Cáceres,2013,880.375,4
10,Cáceres,2014,830.375,4
10,Cáceres,2015,828.825,4
10,Cáceres,2016,861.65,4
10,Cáceres,2017,860.7,4
10,Cáceres,2018,851.15,4
10,Cáceres,2019,850.325,4
10,Cáceres,2020,844.1,4
10,Cáceres,2021,835.75,4
10,Cáceres,2022,838.55,4
10,Cáceres,2023,844.4,4
10,Cáceres,2024,862.125,4
10,Cáceres,2025,894.8,4
11,Cádiz,1995,503.475,4
11,Cádiz,1996,505.275,4
11,Cádiz,1997,515.425,4
11,Cádiz,1998,548.7,4
11,Cádiz,1999,584.15,4
11,Cádiz,2000,644.2,4
11,Cádiz,2001,738.625,4
11,Cádiz,2002,872.0749999999999,4
11,Cádiz,2003,1048.225,4
11,Cádiz,2004,1299.225,4
11,Cádiz,2005,1538.725,4
11,Cádiz,2006,1719.525,4
11,Cádiz,2007,1841.775,4
11,Cádiz,2008,1922.325,4
11,Cádiz,2009,1834.375,4
11,Cádiz,2010,1738.875,4
11,Cádiz,2011,1661.85,4
11,Cádiz,2012,1512.975,4
11,Cádiz,2013,1340.475,4
11,Cádiz,2014,1301.6999999999998,4
11,Cádiz,2015,1303.475,4
11,Cádiz,2016,1279.9,4
11,Cádiz,2017,1281.65,4
11,Cádiz,2018,1307.075,4
11,Cádiz,2019,1351.075,4
11,Cádiz,2020,1357.075,4
11,Cádiz,2021,1402.725,4
11,Cádiz,2022,1455.075,4
11,Cádiz,2023,1533.25,4
11,Cádiz,2024,1639.05,4
11,Cádiz,2025,1811.975,4
12,Castelló/Castellón,1995,460.1,4
12,Castelló/Castellón,1996,489.8,4
12,Castelló/Castellón,1997,507.225,4
12,Castelló/Castellón,1998,544.775,4
12,Castelló/Castellón,1999,599.375,4
12,Castelló/Castellón,2000,683.675,4
12,Castelló/Castellón,2001,759.45,4
12,Castelló/Castellón,2002,901.0999999999999,4
12,Castelló/Castellón,2003,1059.5,4
12,Castelló/Castellón,2004,1250.3,4
12,Castelló/Castellón,2005,1474.95,4
12,Castelló/Castellón,2006,1646.225,4
12,Castelló/Castellón,2007,1733.6000000000001,4
12,Castelló/Castellón,2008,1717.375,4
12,Castelló/Castellón,2009,1574.25,4
12,Castelló/Castellón,2010,1514.425,4
12,Castelló/Castellón,2011,1416.125,4
12,Castelló/Castellón,2012,1264.425,4
12,Castelló/Castellón,2013,1124.525,4
12,Castelló/Castellón,2014,1052.975,4
12,Castelló/Castellón,2015,1052.55,4
12,Castelló/Castellón,2016,1051.275,4
12,Castelló/Castellón,2017,1041.875,4
12,Castelló/Castellón,2018,1042.875,4
12,Castelló/Castellón,2019,1071.35,4
12,Castelló/Castellón,2020,1043.4,4
12,Castelló/Castellón,2021,1069.6,4
12,Castelló/Castellón,2022,1076.75,4
12,Castelló/Castellón,2023,1112.075,4
12,Castelló/Castellón,2024,1168.85,4
12,Castelló/Castellón,2025,1298.85,4
13,Ciudad Real,1995,447.225,4
13,Ciudad Real,1996,434.925,4
13,Ciudad Real,1997,434.95,4
13,Ciudad Real,1998,427.5,4
13,Ciudad Real,1999,452.025,4
13,Ciudad Real,2000,489.04999999999995,4
13,Ciudad Real,2001,541.95,4
13,Ciudad Real,2002,606.15,4
13,Ciudad Real,2003,672.9,4
13,Ciudad Real,2004,730.875,4
13,Ciudad Real,2005,875.275,4
13,Ciudad Real,2006,1007.625,4
13,Ciudad Real,2007,1069.35,4
13,Ciudad Real,2008,1069.225,4
13,Ciudad Real,2009,973.075,4
13,Ciudad Real,2010,992.7750000000001,4
13,Ciudad Real,2011,977.95,4
13,Ciudad Real,2012,938.225,4
13,Ciudad Real,2013,832.9,4
13,Ciudad Real,2014,785.925,4
13,Ciudad Real,2015,783.875,4
13,Ciudad Real,2016,780.575,4
13,Ciudad Real,2017,769.65,4
13,Ciudad Real,2018,756.925,4
13,Ciudad Real,2019,737.05,4
13,Ciudad Real,2020,721.8249999999999,4
13,Ciudad Real,2021,715.1,4
13,Ciudad Real,2022,727.575,4
13,Ciudad Real,2023,715.8249999999999,4
13,Ciudad Real,2024,721.675,4
13,Ciudad Real,2025,761.525,4
14,Córdoba,1995,510.15,4
14,Córdoba,1996,482.225,4
14,Córdoba,1997,481.65,4
14,Córdoba,1998,490.975,4
14,Córdoba,1999,515.45,4
14,Córdoba,2000,557.35,4
14,Córdoba,2001,629,4
14,Córdoba,2002,722.75,4
14,Córdoba,2003,826.125,4
14,Córdoba,2004,999.9749999999999,4
14,Córdoba,2005,1207.875,4
14,Córdoba,2006,1400.1750000000002,4
14,Córdoba,2007,1522.525,4
14,Córdoba,2008,1532.875,4
14,Córdoba,2009,1442.025,4
14,Córdoba,2010,1348.55,4
14,Córdoba,2011,1340,4
14,Córdoba,2012,1322.25,4
14,Córdoba,2013,1201.575,4
14,Córdoba,2014,1134.55,4
14,Córdoba,2015,1154.525,4
14,Córdoba,2016,1143.9250000000002,4
14,Córdoba,2017,1133.775,4
14,Córdoba,2018,1144.35,4
14,Córdoba,2019,1148.275,4
14,Córdoba,2020,1125.6,4
14,Córdoba,2021,1098.4499999999998,4
14,Córdoba,2022,1117.875,4
14,Córdoba,2023,1108.8000000000002,4
14,Córdoba,2024,1135.025,4
14,Córdoba,2025,1201.8,4
15,A Coruña,1995,678.275,4
15,A Coruña,1996,686.125,4
15,A Coruña,1997,665.75,4
15,A Coruña,1998,714.075,4
15,A Coruña,1999,701.825,4
15,A Coruña,2000,757.425,4
15,A Coruña,2001,810.975,4
15,A Coruña,2002,854.075,4
15,A Coruña,2003,973.45,4
15,A Coruña,2004,1100.35,4
15,A Coruña,2005,1217.025,4
15,A Coruña,2006,1396.2,4
15,A Coruña,2007,1513.45,4
15,A Coruña,2008,1557.1,4
15,A Coruña,2009,1432.8,4
15,A Coruña,2010,1446.775,4
15,A Coruña,2011,1401.975,4
15,A Coruña,2012,1314.225,4
15,A Coruña,2013,1214.2250000000001,4
15,A Coruña,2014,1184.8,4
15,A Coruña,2015,1195.05,4
15,A Coruña,2016,1220.625,4
15,A Coruña,2017,1222.825,4
15,A Coruña,2018,1217.3249999999998,4
15,A Coruña,2019,1235.45,4
15,A Coruña,2020,1244.3000000000002,4
15,A Coruña,2021,1265,4
15,A Coruña,2022,1298.35,4
15,A Coruña,2023,1346.475,4
15,A Coruña,2024,1419.8500000000001,4
15,A Coruña,2025,1571.775,4
16,Cuenca,1995,432.575,4
16,Cuenca,1996,475.175,4
16,Cuenca,1997,459.125,4
16,Cuenca,1998,460.675,4
16,Cuenca,1999,477.375,4
16,Cuenca,2000,486.55,4
16,Cuenca,2001,534.225,4
16,Cuenca,2002,580.6,4
16,Cuenca,2003,640.075,4
16,Cuenca,2004,782.725,4
16,Cuenca,2005,923.125,4
16,Cuenca,2006,981.175,4
16,Cuenca,2007,1059.325,4
16,Cuenca,2008,1042.3,4
16,Cuenca,2009,981.075,4
16,Cuenca,2010,994.375,4
16,Cuenca,2011,1031.625,4
16,Cuenca,2012,882.0999999999999,2
16,Cuenca,2013,837.775,4
16,Cuenca,2014,819.3,4
16,Cuenca,2015,802.45,4
16,Cuenca,2016,798.125,4
16,Cuenca,2017,796.375,4
16,Cuenca,2018,777.4000000000001,4
16,Cuenca,2019,774.675,4
16,Cuenca,2020,763.4,4
16,Cuenca,2021,777.45,4
16,Cuenca,2022,782.4000000000001,4
16,Cuenca,2023,770.2249999999999,4
16,Cuenca,2024,788.825,4
16,Cuenca,2025,869.2,4
17,Girona,1995,582.6,4
17,Girona,1996,602.35,4
17,Girona,1997,622.925,4
17,Girona,1998,658.75,4
17,Girona,1999,732.075,4
17,Girona,2000,825.075,4
17,Girona,2001,933.4,4
17,Girona,2002,1079.975,4
17,Girona,2003,1267.675,4
17,Girona,2004,1490.425,4
17,Girona,2005,1744.275,4
17,Girona,2006,1990.875,4
17,Girona,2007,2124.425,4
17,Girona,2008,2170.575,4
17,Girona,2009,2042.475,4
17,Girona,2010,1987.45,4
17,Girona,2011,1876.05,4
17,Girona,2012,1691.125,4
17,Girona,2013,1499.625,4
17,Girona,2014,1435.95,4
17,Girona,2015,1457.2250000000001,4
17,Girona,2016,1471.825,4
17,Girona,2017,1507.6,4
17,Girona,2018,1506.6750000000002,4
17,Girona,2019,1532.85,4
17,Girona,2020,1529.95,4
17,Girona,2021,1583.175,4
17,Girona,2022,1678.6,4
17,Girona,2023,1753.7749999999999,4
17,Girona,2024,1837.35,4
17,Girona,2025,1996.675,4
18,Granada,1995,478.75,4
18,Granada,1996,481.325,4
18,Granada,1997,504.575,4
18,Granada,1998,522.975,4
18,Granada,1999,572.625,4
18,Granada,2000,644.375,4
18,Granada,2001,732.225,4
18,Granada,2002,816.6,4
18,Granada,2003,912.45,4
18,Granada,2004,1044.475,4
18,Granada,2005,1213.725,4
18,Granada,2006,1349.75,4
18,Granada,2007,1479.3,4
18,Granada,2008,1509.725,4
18,Granada,2009,1411.125,4
18,Granada,2010,1343,4
18,Granada,2011,1296.65,4
18,Granada,2012,1201.225,4
18,Granada,2013,1151.325,4
18,Granada,2014,1083.35,4
18,Granada,2015,1068.7,4
18,Granada,2016,1081.15,4
18,Granada,2017,1068.3999999999999,4
18,Granada,2018,1103.375,4
18,Granada,2019,1119.375,4
18,Granada,2020,1108.8249999999998,4
18,Granada,2021,1134.6999999999998,4
18,Granada,2022,1209.25,4
18,Granada,2023,1250.8500000000001,4
18,Granada,2024,1335,4
18,Granada,2025,1496.8,4
19,Guadalajara,1995,654.4,4
19,Guadalajara,1996,642.675,4
19,Guadalajara,1997,647.925,4
19,Guadalajara,1998,682.65,4
19,Guadalajara,1999,706.1,4
19,Guadalajara,2000,759.425,4
19,Guadalajara,2001,843.425,4
19,Guadalajara,2002,1023.2,4
19,Guadalajara,2003,1277.3000000000002,4
19,Guadalajara,2004,1447.75,4
19,Guadalajara,2005,1692.775,4
19,Guadalajara,2006,1883.65,4
19,Guadalajara,2007,1938.525,4
19,Guadalajara,2008,1842.75,4
19,Guadalajara,2009,1654.425,4
19,Guadalajara,2010,1596.025,4
19,Guadalajara,2011,1451.95,4
19,Guadalajara,2012,1310.425,4
19,Guadalajara,2013,1152.95,4
19,Guadalajara,2014,1064.625,4
19,Guadalajara,2015,1018.55,4
19,Guadalajara,2016,1013.95,4
19,Guadalajara,2017,1053.325,4
19,Guadalajara,2018,1080.8,4
19,Guadalajara,2019,1112.8,4
19,Guadalajara,2020,1113.4,4
19,Guadalajara,2021,1126.875,4
19,Guadalajara,2022,1209.5249999999999,4
19,Guadalajara,2023,1273.925,4
19,Guadalajara,2024,1359.05,4
19,Guadalajara,2025,1531.9499999999998,4
20,Gipuzkoa,1995,991.5250000000001,4
20,Gipuzkoa,1996,1006.525,4
20,Gipuzkoa,1997,978.475,4
20,Gipuzkoa,1998,1014.625,4
20,Gipuzkoa,1999,1186.6,4
20,Gipuzkoa,2000,1524.4,4
20,Gipuzkoa,2001,1712,4
20,Gipuzkoa,2002,1922.65,4
20,Gipuzkoa,2003,2097.75,4
20,Gipuzkoa,2004,2278.5,4
20,Gipuzkoa,2005,2571.45,4
20,Gipuzkoa,2006,2854.375,4
20,Gipuzkoa,2007,2983,4
20,Gipuzkoa,2008,3044.475,4
20,Gipuzkoa,2009,2948.075,4
20,Gipuzkoa,2010,2785.875,4
20,Gipuzkoa,2011,2777.775,4
20,Gipuzkoa,2012,2761.225,4
20,Gipuzkoa,2013,2734.225,4
20,Gipuzkoa,2014,2723,4
20,Gipuzkoa,2015,2677.275,4
20,Gipuzkoa,2016,2614.65,4
20,Gipuzkoa,2017,2661.75,4
20,Gipuzkoa,2018,2645.325,4
20,Gipuzkoa,2019,2689.05,4
20,Gipuzkoa,2020,2682.55,4
20,Gipuzkoa,2021,2746.95,4
20,Gipuzkoa,2022,2834.1,4
20,Gipuzkoa,2023,2891.0499999999997,4
20,Gipuzkoa,2024,2960.1749999999997,4
20,Gipuzkoa,2025,3198.6,4
21,Huelva,1995,510.825,4
21,Huelva,1996,514.975,4
21,Huelva,1997,515.35,4
21,Huelva,1998,546.375,4
21,Huelva,1999,589.975,4
21,Huelva,2000,676.75,4
21,Huelva,2001,808.7,4
21,Huelva,2002,921.125,4
21,Huelva,2003,1071.325,4
21,Huelva,2004,1222.175,4
21,Huelva,2005,1395.35,4
21,Huelva,2006,1559.4,4
21,Huelva,2007,1681.525,4
21,Huelva,2008,1762.55,4
21,Huelva,2009,1633.525,4
21,Huelva,2010,1535.4,4
21,Huelva,2011,1412.75,4
21,Huelva,2012,1318.025,4
21,Huelva,2013,1200.9,4
21,Huelva,2014,1105.625,4
21,Huelva,2015,1080.075,4
21,Huelva,2016,1056.2749999999999,4
21,Huelva,2017,1056.225,4
21,Huelva,2018,1067.75,4
21,Huelva,2019,1089.05,4
21,Huelva,2020,1065.4,4
21,Huelva,2021,1117.75,4
21,Huelva,2022,1168.325,4
21,Huelva,2023,1208.45,4
21,Huelva,2024,1274.475,4
21,Huelva,2025,1384.175,4
22,Huesca,1995,447.675,4
22,Huesca,1996,480,4
22,Huesca,1997,489,4
22,Huesca,1998,520.7,4
22,Huesca,1999,594.95,4
22,Huesca,2000,636.6,4
22,Huesca,2001,731.625,4
22,Huesca,2002,822.975,4
22,Huesca,2003,932.325,4
22,Huesca,2004,1158.225,4
22,Huesca,2005,1369.85,4
22,Huesca,2006,1536.3,4
22,Huesca,2007,1615.225,4
22,Huesca,2008,1656.5,4
22,Huesca,2009,1497.35,4
22,Huesca,2010,1449.15,4
22,Huesca,2011,1455.85,2
22,Huesca,2012,1424.9666666666667,3
22,Huesca,2013,1225.65,4
22,Huesca,2014,1162.15,4
22,Huesca,2015,1176.5,4
22,Huesca,2016,1127.525,4
22,Huesca,2017,1130.65,4
22,Huesca,2018,1132.65,4
22,Huesca,2019,1159.8,4
22,Huesca,2020,1139.15,4
22,Huesca,2021,1153.375,4
22,Huesca,2022,1182.05,4
22,Huesca,2023,1178.2749999999999,4
22,Huesca,2024,1233.1999999999998,4
22,Huesca,2025,1334.125,4
23,Jaén,1995,383.20000000000005,4
23,Jaén,1996,383.59999999999997,4
23,Jaén,1997,392.59999999999997,4
23,Jaén,1998,404.55,4
23,Jaén,1999,439.9,4
23,Jaén,2000,486.1,4
23,Jaén,2001,537.075,4
23,Jaén,2002,597.8,4
23,Jaén,2003,670,4
23,Jaén,2004,769.9000000000001,4
23,Jaén,2005,892.8,4
23,Jaén,2006,1013.575,4
23,Jaén,2007,1085.05,4
23,Jaén,2008,1112.7,4
23,Jaén,2009,1034.875,4
23,Jaén,2010,1049.85,4
23,Jaén,2011,1031.325,4
23,Jaén,2012,922.15,4
23,Jaén,2013,856.4,4
23,Jaén,2014,797.7,4
23,Jaén,2015,817.025,4
23,Jaén,2016,824.0999999999999,4
23,Jaén,2017,811.2750000000001,4
23,Jaén,2018,809.075,4
23,Jaén,2019,799.175,4
23,Jaén,2020,785.925,4
23,Jaén,2021,777.55,4
23,Jaén,2022,794.025,4
23,Jaén,2023,797.05,4
23,Jaén,2024,806.8499999999999,4
23,Jaén,2025,849.025,4
24,León,1995,536.1,4
24,León,1996,534.9000000000001,4
24,León,1997,543.9000000000001,4
24,León,1998,576.2,4
24,León,1999,590,4
24,León,2000,655.875,4
24,León,2001,711.225,4
24,León,2002,777.125,4
24,León,2003,861.55,4
24,León,2004,947.75,4
24,León,2005,1034.65,4
24,León,2006,1133.4,4
24,León,2007,1215.8,4
24,León,2008,1201.75,4
24,León,2009,1167.375,4
24,León,2010,1147.65,4
24,León,2011,1115.85,4
24,León,2012,1019.85,4
24,León,2013,947.175,4
24,León,2014,892.95,4
24,León,2015,879.975,4
24,León,2016,902.15,4
24,León,2017,880.575,4
24,León,2018,875.4749999999999,4
24,León,2019,869.575,4
24,León,2020,860.025,4
24,León,2021,850.575,4
24,León,2022,871.5,4
24,León,2023,879.85,4
24,León,2024,902.275,4
24,León,2025,966.325,4
25,Lleida,1995,491.6,4
25,Lleida,1996,504.25,4
25,Lleida,1997,512.5,4
25,Lleida,1998,534.225,4
25,Lleida,1999,597.0999999999999,4
25,Lleida,2000,653.75,4
25,Lleida,2001,721.675,4
25,Lleida,2002,810.5,4
25,Lleida,2003,926.475,4
25,Lleida,2004,1062.575,4
25,Lleida,2005,1137.7,4
25,Lleida,2006,1297.325,4
25,Lleida,2007,1405.05,4
25,Lleida,2008,1440.6,4
25,Lleida,2009,1356.925,4
25,Lleida,2010,1333.075,4
25,Lleida,2011,1256.6,4
25,Lleida,2012,1152.1999999999998,4
25,Lleida,2013,1014.45,4
25,Lleida,2014,981.4,4
25,Lleida,2015,1013.9,4
25,Lleida,2016,1021.125,4
25,Lleida,2017,1026.0249999999999,4
25,Lleida,2018,1043.7,4
25,Lleida,2019,1019.175,4
25,Lleida,2020,988.2,4
25,Lleida,2021,1014.8000000000001,4
25,Lleida,2022,1053.175,4
25,Lleida,2023,1076.304020191825,4
25,Lleida,2024,1124.367154122675,4
