territorio_mivau,territorio_key,anio,trimestre,precio_vivienda_libre_eur_m2,hoja
Huelva,huelva,1996,4,507.3,"1995, 1996, 1997, 1998"
Huelva,huelva,1997,1,503.5,"1995, 1996, 1997, 1998"
Huelva,huelva,1997,2,516.3,"1995, 1996, 1997, 1998"
Huelva,huelva,1997,3,517.6,"1995, 1996, 1997, 1998"
Huelva,huelva,1997,4,524,"1995, 1996, 1997, 1998"
Huelva,huelva,1998,1,534.2,"1995, 1996, 1997, 1998"
Huelva,huelva,1998,2,547,"1995, 1996, 1997, 1998"
Huelva,huelva,1998,3,548.3,"1995, 1996, 1997, 1998"
Huelva,huelva,1998,4,556,"1995, 1996, 1997, 1998"
Jaén,jaen,1995,1,375.8,"1995, 1996, 1997, 1998"
Jaén,jaen,1995,2,380.6,"1995, 1996, 1997, 1998"
Jaén,jaen,1995,3,388.6,"1995, 1996, 1997, 1998"
Jaén,jaen,1995,4,387.8,"1995, 1996, 1997, 1998"
Jaén,jaen,1996,1,381.4,"1995, 1996, 1997, 1998"
Jaén,jaen,1996,2,389.4,"1995, 1996, 1997, 1998"
Jaén,jaen,1996,3,382.2,"1995, 1996, 1997, 1998"
Jaén,jaen,1996,4,381.4,"1995, 1996, 1997, 1998"
Jaén,jaen,1997,1,397.4,"1995, 1996, 1997, 1998"
Jaén,jaen,1997,2,393.4,"1995, 1996, 1997, 1998"
Jaén,jaen,1997,3,389.4,"1995, 1996, 1997, 1998"
Jaén,jaen,1997,4,390.2,"1995, 1996, 1997, 1998"
Jaén,jaen,1998,1,395.8,"1995, 1996, 1997, 1998"
Jaén,jaen,1998,2,395.8,"1995, 1996, 1997, 1998"
Jaén,jaen,1998,3,409.3,"1995, 1996, 1997, 1998"
Jaén,jaen,1998,4,417.3,"1995, 1996, 1997, 1998"
Málaga,malaga,1995,1,494.5,"1995, 1996, 1997, 1998"
Málaga,malaga,1995,2,507.8,"1995, 1996, 1997, 1998"
Málaga,malaga,1995,3,488.8,"1995, 1996, 1997, 1998"
Málaga,malaga,1995,4,519.3,"1995, 1996, 1997, 1998"
Málaga,malaga,1996,1,507.8,"1995, 1996, 1997, 1998"
Málaga,malaga,1996,2,521.2,"1995, 1996, 1997, 1998"
Málaga,malaga,1996,3,517.4,"1995, 1996, 1997, 1998"
Málaga,malaga,1996,4,528.8,"1995, 1996, 1997, 1998"
Málaga,malaga,1997,1,528.8,"1995, 1996, 1997, 1998"
Málaga,malaga,1997,2,544.1,"1995, 1996, 1997, 1998"
Málaga,malaga,1997,3,551.8,"1995, 1996, 1997, 1998"
Málaga,malaga,1997,4,542.2,"1995, 1996, 1997, 1998"
Málaga,malaga,1998,1,547.9,"1995, 1996, 1997, 1998"
Málaga,malaga,1998,2,568.9,"1995, 1996, 1997, 1998"
Málaga,malaga,1998,3,578.5,"1995, 1996, 1997, 1998"
Málaga,malaga,1998,4,603.3,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1995,1,505.2,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1995,2,509.4,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1995,3,499.7,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1995,4,496.9,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1996,1,492.8,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1996,2,506.6,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1996,3,496.9,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1996,4,508,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1997,1,506.6,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1997,2,510.8,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1997,3,516.3,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1997,4,506.6,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1998,1,532.9,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1998,2,526,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1998,3,534.3,"1995, 1996, 1997, 1998"
Sevilla,sevilla,1998,4,544,"1995, 1996, 1997, 1998"
Aragón,aragon,1995,1,573.6,"1995, 1996, 1997, 1998"
Aragón,aragon,1995,2,570.6,"1995, 1996, 1997, 1998"
Aragón,aragon,1995,3,590.1,"1995, 1996, 1997, 1998"
Aragón,aragon,1995,4,597.5,"1995, 1996, 1997, 1998"
Aragón,aragon,1996,1,596,"1995, 1996, 1997, 1998"
Aragón,aragon,1996,2,581.1,"1995, 1996, 1997, 1998"
Aragón,aragon,1996,3,599,"1995, 1996, 1997, 1998"
Aragón,aragon,1996,4,597.5,"1995, 1996, 1997, 1998"
Aragón,aragon,1997,1,581.1,"1995, 1996, 1997, 1998"
Aragón,aragon,1997,2,581.1,"1995, 1996, 1997, 1998"
Aragón,aragon,1997,3,585.6,"1995, 1996, 1997, 1998"
Aragón,aragon,1997,4,593,"1995, 1996, 1997, 1998"
Aragón,aragon,1998,1,584.1,"1995, 1996, 1997, 1998"
Aragón,aragon,1998,2,602,"1995, 1996, 1997, 1998"
Aragón,aragon,1998,3,642.3,"1995, 1996, 1997, 1998"
Aragón,aragon,1998,4,658.8,"1995, 1996, 1997, 1998"
Huesca,huesca,1995,1,447.4,"1995, 1996, 1997, 1998"
Huesca,huesca,1995,2,434.9,"1995, 1996, 1997, 1998"
Huesca,huesca,1995,3,446.1,"1995, 1996, 1997, 1998"
Huesca,huesca,1995,4,462.3,"1995, 1996, 1997, 1998"
Huesca,huesca,1996,1,462.3,"1995, 1996, 1997, 1998"
Huesca,huesca,1996,2,485.9,"1995, 1996, 1997, 1998"
Huesca,huesca,1996,3,483.4,"1995, 1996, 1997, 1998"
Huesca,huesca,1996,4,488.4,"1995, 1996, 1997, 1998"
Huesca,huesca,1997,1,484.7,"1995, 1996, 1997, 1998"
Huesca,huesca,1997,2,489.6,"1995, 1996, 1997, 1998"
Huesca,huesca,1997,3,492.1,"1995, 1996, 1997, 1998"
Huesca,huesca,1997,4,489.6,"1995, 1996, 1997, 1998"
Huesca,huesca,1998,1,487.1,"1995, 1996, 1997, 1998"
Huesca,huesca,1998,2,490.9,"1995, 1996, 1997, 1998"
Huesca,huesca,1998,3,551.8,"1995, 1996, 1997, 1998"
Huesca,huesca,1998,4,553,"1995, 1996, 1997, 1998"
Teruel,teruel,1995,1,411.1,"1995, 1996, 1997, 1998"
Teruel,teruel,1995,2,436.5,"1995, 1996, 1997, 1998"
Teruel,teruel,1995,3,469.6,"1995, 1996, 1997, 1998"
Teruel,teruel,1995,4,475.7,"1995, 1996, 1997, 1998"
Teruel,teruel,1996,1,430.3,"1995, 1996, 1997, 1998"
Teruel,teruel,1996,2,467,"1995, 1996, 1997, 1998"
Teruel,teruel,1996,3,440.8,"1995, 1996, 1997, 1998"
Teruel,teruel,1996,4,464.4,"1995, 1996, 1997, 1998"
Teruel,teruel,1997,1,465.3,"1995, 1996, 1997, 1998"
Teruel,teruel,1997,2,494.1,"1995, 1996, 1997, 1998"
Teruel,teruel,1997,3,481.8,"1995, 1996, 1997, 1998"
Teruel,teruel,1997,4,467,"1995, 1996, 1997, 1998"
Teruel,teruel,1998,1,465.3,"1995, 1996, 1997, 1998"
Teruel,teruel,1998,2,469.6,"1995, 1996, 1997, 1998"
Teruel,teruel,1998,3,494.9,"1995, 1996, 1997, 1998"
Teruel,teruel,1998,4,493.2,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1995,1,619.7,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1995,2,610,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1995,3,635.9,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1995,4,644.1,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1996,1,644.1,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1996,2,608.4,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1996,3,624.6,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1996,4,626.2,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1997,1,603.5,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1997,2,600.3,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1997,3,603.5,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1997,4,621.3,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1998,1,610,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1998,2,634.3,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1998,3,671.6,"1995, 1996, 1997, 1998"
Zaragoza,zaragoza,1998,4,702.5,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1995,1,657.9,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1995,2,635.1,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1995,3,643.7,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1995,4,636.6,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1996,1,662.2,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1996,2,666.5,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1996,3,679.3,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1996,4,667.9,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1997,1,677.9,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1997,2,685,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1997,3,695,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1997,4,672.2,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1998,1,702.1,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1998,2,712.1,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1998,3,714.9,"1995, 1996, 1997, 1998"
Asturias (Principado de ),asturias (principado de ),1998,4,719.2,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1995,1,586,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1995,2,591.6,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1995,3,591.6,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1995,4,599.2,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1996,1,589.7,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1996,2,599.2,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1996,3,601.1,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1996,4,623.8,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1997,1,627.5,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1997,2,648.3,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1997,3,640.8,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1997,4,654,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1998,1,680.5,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1998,2,746.6,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1998,3,771.2,"1995, 1996, 1997, 1998"
Balears (Illes),balears (illes),1998,4,795.8,"1995, 1996, 1997, 1998"
Canarias,canarias,1995,1,572.4,"1995, 1996, 1997, 1998"
Canarias,canarias,1995,2,598.4,"1995, 1996, 1997, 1998"
Canarias,canarias,1995,3,593.8,"1995, 1996, 1997, 1998"
Canarias,canarias,1995,4,607.5,"1995, 1996, 1997, 1998"
Canarias,canarias,1996,1,610.6,"1995, 1996, 1997, 1998"
Canarias,canarias,1996,2,613.7,"1995, 1996, 1997, 1998"
Canarias,canarias,1996,3,622.8,"1995, 1996, 1997, 1998"
Canarias,canarias,1996,4,633.5,"1995, 1996, 1997, 1998"
Canarias,canarias,1997,1,647.2,"1995, 1996, 1997, 1998"
Canarias,canarias,1997,2,674.7,"1995, 1996, 1997, 1998"
Canarias,canarias,1997,3,676.2,"1995, 1996, 1997, 1998"
Canarias,canarias,1997,4,683.9,"1995, 1996, 1997, 1998"
Canarias,canarias,1998,1,702.2,"1995, 1996, 1997, 1998"
Canarias,canarias,1998,2,726.6,"1995, 1996, 1997, 1998"
Canarias,canarias,1998,3,744.9,"1995, 1996, 1997, 1998"
Canarias,canarias,1998,4,770.9,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1995,1,576.1,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1995,2,606.9,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1995,3,606.9,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1995,4,613.1,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1996,1,619.2,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1996,2,630,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1996,3,633.1,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1996,4,636.2,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1997,1,667,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1997,2,700.9,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1997,3,697.8,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1997,4,702.4,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1998,1,733.2,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1998,2,762.5,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1998,3,759.4,"1995, 1996, 1997, 1998"
Palmas (Las),palmas (las),1998,4,787.1,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1995,1,572.4,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1995,2,586,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1995,3,580,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1995,4,601.1,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1996,1,599.6,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1996,2,590.5,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1996,3,602.6,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1996,4,631.3,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1997,1,622.2,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1997,2,644.9,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1997,3,654,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1997,4,666,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1998,1,664.5,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1998,2,685.7,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1998,3,726.5,"1995, 1996, 1997, 1998"
Santa Cruz de Tenerife,santa cruz de tenerife,1998,4,750.6,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1995,1,750,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1995,2,751.6,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1995,3,714.3,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1995,4,735.4,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1996,1,733.7,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1996,2,728.9,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1996,3,735.4,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1996,4,784.1,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1997,1,753.2,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1997,2,775.9,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1997,3,771.1,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1997,4,756.5,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1998,1,754.8,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1998,2,763,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1998,3,780.8,"1995, 1996, 1997, 1998"
Cantabria,cantabria,1998,4,787.3,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1995,1,616.9,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1995,2,631.6,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1995,3,641.4,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1995,4,635.3,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1996,1,618.1,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1996,2,641.4,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1996,3,636.5,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1996,4,632.8,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1997,1,640.2,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1997,2,648.8,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1997,3,646.3,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1997,4,652.5,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1998,1,657.4,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1998,2,677.1,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1998,3,686.9,"1995, 1996, 1997, 1998"
Castilla y León,castilla y leon,1998,4,694.3,"1995, 1996, 1997, 1998"
Ávila,avila,1995,1,579,"1995, 1996, 1997, 1998"
Ávila,avila,1995,2,584.5,"1995, 1996, 1997, 1998"
Ávila,avila,1995,3,606.7,"1995, 1996, 1997, 1998"
Ávila,avila,1995,4,604.5,"1995, 1996, 1997, 1998"
Ávila,avila,1996,1,585.7,"1995, 1996, 1997, 1998"
Ávila,avila,1996,2,587.9,"1995, 1996, 1997, 1998"
Ávila,avila,1996,3,600.1,"1995, 1996, 1997, 1998"
Ávila,avila,1996,4,611.2,"1995, 1996, 1997, 1998"
Ávila,avila,1997,1,607.8,"1995, 1996, 1997, 1998"
Ávila,avila,1997,2,600.1,"1995, 1996, 1997, 1998"
Ávila,avila,1997,3,613.4,"1995, 1996, 1997, 1998"
Ávila,avila,1997,4,595.6,"1995, 1996, 1997, 1998"
Ávila,avila,1998,1,604.5,"1995, 1996, 1997, 1998"
Ávila,avila,1998,2,626.7,"1995, 1996, 1997, 1998"
Ávila,avila,1998,3,617.8,"1995, 1996, 1997, 1998"
Ávila,avila,1998,4,613.4,"1995, 1996, 1997, 1998"
Burgos,burgos,1995,1,703.9,"1995, 1996, 1997, 1998"
Burgos,burgos,1995,2,749.3,"1995, 1996, 1997, 1998"
Burgos,burgos,1995,3,717.1,"1995, 1996, 1997, 1998"
Burgos,burgos,1995,4,708.3,"1995, 1996, 1997, 1998"
Burgos,burgos,1996,1,737.6,"1995, 1996, 1997, 1998"
Burgos,burgos,1996,2,743.5,"1995, 1996, 1997, 1998"
Burgos,burgos,1996,3,721.5,"1995, 1996, 1997, 1998"
Burgos,burgos,1996,4,733.2,"1995, 1996, 1997, 1998"
Burgos,burgos,1997,1,730.3,"1995, 1996, 1997, 1998"
Burgos,burgos,1997,2,784.5,"1995, 1996, 1997, 1998"
Burgos,burgos,1997,3,758.1,"1995, 1996, 1997, 1998"
Burgos,burgos,1997,4,769.9,"1995, 1996, 1997, 1998"
Burgos,burgos,1998,1,762.5,"1995, 1996, 1997, 1998"
Burgos,burgos,1998,2,856.4,"1995, 1996, 1997, 1998"
Burgos,burgos,1998,3,849,"1995, 1996, 1997, 1998"
Burgos,burgos,1998,4,856.4,"1995, 1996, 1997, 1998"
León,leon,1995,1,529.1,"1995, 1996, 1997, 1998"
León,leon,1995,2,546.1,"1995, 1996, 1997, 1998"
León,leon,1995,3,541.1,"1995, 1996, 1997, 1998"
