cod_provincia,provincia,anio,ejecuciones_hipotecarias_vivienda
43,Tarragona,2024,454
43,Tarragona,2025,425
44,Teruel,2014,104
44,Teruel,2015,94
44,Teruel,2016,76
44,Teruel,2017,97
44,Teruel,2018,48
44,Teruel,2019,74
44,Teruel,2020,23
44,Teruel,2021,37
44,Teruel,2022,16
44,Teruel,2023,17
44,Teruel,2024,9
44,Teruel,2025,7
45,Toledo,2014,2383
45,Toledo,2015,1565
45,Toledo,2016,922
45,Toledo,2017,561
45,Toledo,2018,827
45,Toledo,2019,980
45,Toledo,2020,314
45,Toledo,2021,440
45,Toledo,2022,340
45,Toledo,2023,274
45,Toledo,2024,269
45,Toledo,2025,417
46,Valencia/València,2014,5268
46,Valencia/València,2015,4471
46,Valencia/València,2016,1746
46,Valencia/València,2017,2312
46,Valencia/València,2018,2113
46,Valencia/València,2019,2419
46,Valencia/València,2020,248
46,Valencia/València,2021,2028
46,Valencia/València,2022,1498
46,Valencia/València,2023,1155
46,Valencia/València,2024,920
46,Valencia/València,2025,118
47,Valladolid,2014,873
47,Valladolid,2015,454
47,Valladolid,2016,209
47,Valladolid,2017,93
47,Valladolid,2018,82
47,Valladolid,2019,65
47,Valladolid,2020,66
47,Valladolid,2021,52
47,Valladolid,2022,52
47,Valladolid,2023,71
47,Valladolid,2024,139
47,Valladolid,2025,80
48,Bizkaia,2014,215
48,Bizkaia,2015,163
48,Bizkaia,2016,75
48,Bizkaia,2017,76
48,Bizkaia,2018,52
48,Bizkaia,2019,48
48,Bizkaia,2020,71
48,Bizkaia,2021,155
48,Bizkaia,2022,104
48,Bizkaia,2023,86
48,Bizkaia,2024,112
48,Bizkaia,2025,133
49,Zamora,2014,117
49,Zamora,2015,61
49,Zamora,2016,84
49,Zamora,2017,51
49,Zamora,2018,26
49,Zamora,2019,63
49,Zamora,2020,66
49,Zamora,2021,35
49,Zamora,2022,21
49,Zamora,2023,21
49,Zamora,2024,19
49,Zamora,2025,36
50,Zaragoza,2014,1143
50,Zaragoza,2015,904
50,Zaragoza,2016,666
50,Zaragoza,2017,336
50,Zaragoza,2018,264
50,Zaragoza,2019,298
50,Zaragoza,2020,304
50,Zaragoza,2021,238
50,Zaragoza,2022,285
50,Zaragoza,2023,140
50,Zaragoza,2024,207
50,Zaragoza,2025,227
51,Ceuta,2014,32
51,Ceuta,2015,17
51,Ceuta,2016,12
51,Ceuta,2017,47
51,Ceuta,2018,6
51,Ceuta,2019,2
51,Ceuta,2020,25
51,Ceuta,2021,30
51,Ceuta,2022,9
51,Ceuta,2023,7
51,Ceuta,2024,6
51,Ceuta,2025,16
52,Melilla,2014,8
52,Melilla,2015,21
52,Melilla,2016,30
52,Melilla,2017,13
52,Melilla,2018,7
52,Melilla,2019,5
52,Melilla,2020,4
52,Melilla,2021,4
52,Melilla,2022,2
52,Melilla,2023,3
52,Melilla,2024,10
52,Melilla,2025,8
