Provincias;Tasas;Sexo;Periodo;Total
40 Segovia;Tasa de actividad;Ambos sexos;2012T4;58,11
40 Segovia;Tasa de actividad;Ambos sexos;2012T3;58,94
40 Segovia;Tasa de actividad;Ambos sexos;2012T2;56,66
40 Segovia;Tasa de actividad;Ambos sexos;2012T1;57,90
40 Segovia;Tasa de actividad;Ambos sexos;2011T4;58,08
40 Segovia;Tasa de actividad;Ambos sexos;2011T3;57,61
40 Segovia;Tasa de actividad;Ambos sexos;2011T2;57,60
40 Segovia;Tasa de actividad;Ambos sexos;2011T1;57,76
40 Segovia;Tasa de actividad;Ambos sexos;2010T4;57,55
40 Segovia;Tasa de actividad;Ambos sexos;2010T3;59,13
40 Segovia;Tasa de actividad;Ambos sexos;2010T2;58,08
40 Segovia;Tasa de actividad;Ambos sexos;2010T1;58,11
40 Segovia;Tasa de actividad;Ambos sexos;2009T4;56,59
40 Segovia;Tasa de actividad;Ambos sexos;2009T3;57,83
40 Segovia;Tasa de actividad;Ambos sexos;2009T2;57,88
40 Segovia;Tasa de actividad;Ambos sexos;2009T1;58,14
40 Segovia;Tasa de actividad;Ambos sexos;2008T4;59,31
40 Segovia;Tasa de actividad;Ambos sexos;2008T3;60,33
40 Segovia;Tasa de actividad;Ambos sexos;2008T2;57,49
40 Segovia;Tasa de actividad;Ambos sexos;2008T1;55,86
40 Segovia;Tasa de actividad;Ambos sexos;2007T4;56,04
40 Segovia;Tasa de actividad;Ambos sexos;2007T3;56,10
40 Segovia;Tasa de actividad;Ambos sexos;2007T2;56,02
40 Segovia;Tasa de actividad;Ambos sexos;2007T1;56,80
40 Segovia;Tasa de actividad;Ambos sexos;2006T4;57,33
40 Segovia;Tasa de actividad;Ambos sexos;2006T3;57,92
40 Segovia;Tasa de actividad;Ambos sexos;2006T2;56,80
40 Segovia;Tasa de actividad;Ambos sexos;2006T1;57,00
40 Segovia;Tasa de actividad;Ambos sexos;2005T4;57,06
40 Segovia;Tasa de actividad;Ambos sexos;2005T3;56,43
40 Segovia;Tasa de actividad;Ambos sexos;2005T2;55,95
40 Segovia;Tasa de actividad;Ambos sexos;2005T1;56,30
40 Segovia;Tasa de actividad;Ambos sexos;2004T4;57,55
40 Segovia;Tasa de actividad;Ambos sexos;2004T3;57,16
40 Segovia;Tasa de actividad;Ambos sexos;2004T2;54,95
40 Segovia;Tasa de actividad;Ambos sexos;2004T1;54,13
40 Segovia;Tasa de actividad;Ambos sexos;2003T4;54,54
40 Segovia;Tasa de actividad;Ambos sexos;2003T3;55,08
40 Segovia;Tasa de actividad;Ambos sexos;2003T2;52,80
40 Segovia;Tasa de actividad;Ambos sexos;2003T1;52,17
40 Segovia;Tasa de actividad;Ambos sexos;2002T4;51,35
40 Segovia;Tasa de actividad;Ambos sexos;2002T3;52,62
40 Segovia;Tasa de actividad;Ambos sexos;2002T2;51,94
40 Segovia;Tasa de actividad;Ambos sexos;2002T1;50,70
40 Segovia;Tasa de paro de la población;Ambos sexos;2026T1;7,03
40 Segovia;Tasa de paro de la población;Ambos sexos;2025T4;7,00
40 Segovia;Tasa de paro de la población;Ambos sexos;2025T3;5,46
40 Segovia;Tasa de paro de la población;Ambos sexos;2025T2;6,42
40 Segovia;Tasa de paro de la población;Ambos sexos;2025T1;4,76
40 Segovia;Tasa de paro de la población;Ambos sexos;2024T4;6,79
40 Segovia;Tasa de paro de la población;Ambos sexos;2024T3;5,56
40 Segovia;Tasa de paro de la población;Ambos sexos;2024T2;7,49
40 Segovia;Tasa de paro de la población;Ambos sexos;2024T1;6,93
40 Segovia;Tasa de paro de la población;Ambos sexos;2023T4;8,19
40 Segovia;Tasa de paro de la población;Ambos sexos;2023T3;10,32
40 Segovia;Tasa de paro de la población;Ambos sexos;2023T2;6,43
40 Segovia;Tasa de paro de la población;Ambos sexos;2023T1;7,32
40 Segovia;Tasa de paro de la población;Ambos sexos;2022T4;7,12
40 Segovia;Tasa de paro de la población;Ambos sexos;2022T3;9,82
40 Segovia;Tasa de paro de la población;Ambos sexos;2022T2;7,48
40 Segovia;Tasa de paro de la población;Ambos sexos;2022T1;8,67
40 Segovia;Tasa de paro de la población;Ambos sexos;2021T4;9,14
40 Segovia;Tasa de paro de la población;Ambos sexos;2021T3;7,79
40 Segovia;Tasa de paro de la población;Ambos sexos;2021T2;10,73
40 Segovia;Tasa de paro de la población;Ambos sexos;2021T1;9,78
40 Segovia;Tasa de paro de la población;Ambos sexos;2020T4;8,21
40 Segovia;Tasa de paro de la población;Ambos sexos;2020T3;8,96
40 Segovia;Tasa de paro de la población;Ambos sexos;2020T2;10,03
40 Segovia;Tasa de paro de la población;Ambos sexos;2020T1;9,38
40 Segovia;Tasa de paro de la población;Ambos sexos;2019T4;11,11
40 Segovia;Tasa de paro de la población;Ambos sexos;2019T3;8,46
40 Segovia;Tasa de paro de la población;Ambos sexos;2019T2;9,89
40 Segovia;Tasa de paro de la población;Ambos sexos;2019T1;9,87
40 Segovia;Tasa de paro de la población;Ambos sexos;2018T4;9,28
40 Segovia;Tasa de paro de la población;Ambos sexos;2018T3;11,45
40 Segovia;Tasa de paro de la población;Ambos sexos;2018T2;13,24
40 Segovia;Tasa de paro de la población;Ambos sexos;2018T1;13,31
40 Segovia;Tasa de paro de la población;Ambos sexos;2017T4;12,60
40 Segovia;Tasa de paro de la población;Ambos sexos;2017T3;10,73
40 Segovia;Tasa de paro de la población;Ambos sexos;2017T2;11,80
40 Segovia;Tasa de paro de la población;Ambos sexos;2017T1;12,56
40 Segovia;Tasa de paro de la población;Ambos sexos;2016T4;12,63
40 Segovia;Tasa de paro de la población;Ambos sexos;2016T3;11,28
40 Segovia;Tasa de paro de la población;Ambos sexos;2016T2;15,45
40 Segovia;Tasa de paro de la población;Ambos sexos;2016T1;17,28
40 Segovia;Tasa de paro de la población;Ambos sexos;2015T4;15,75
40 Segovia;Tasa de paro de la población;Ambos sexos;2015T3;13,45
40 Segovia;Tasa de paro de la población;Ambos sexos;2015T2;14,11
40 Segovia;Tasa de paro de la población;Ambos sexos;2015T1;15,95
40 Segovia;Tasa de paro de la población;Ambos sexos;2014T4;14,33
40 Segovia;Tasa de paro de la población;Ambos sexos;2014T3;14,09
40 Segovia;Tasa de paro de la población;Ambos sexos;2014T2;13,52
40 Segovia;Tasa de paro de la población;Ambos sexos;2014T1;15,58
40 Segovia;Tasa de paro de la población;Ambos sexos;2013T4;17,79
40 Segovia;Tasa de paro de la población;Ambos sexos;2013T3;18,23
40 Segovia;Tasa de paro de la población;Ambos sexos;2013T2;20,73
40 Segovia;Tasa de paro de la población;Ambos sexos;2013T1;20,56
