Total Nacional;Provincias;Estado de la vivienda;Periodo;Total
Total;31 Navarra;General;2021;88
Total;31 Navarra;General;2020;65
Total;31 Navarra;General;2019;54
Total;31 Navarra;General;2018;175
Total;31 Navarra;General;2017;129
Total;31 Navarra;General;2016;233
Total;31 Navarra;General;2015;340
Total;31 Navarra;General;2014;363
Total;31 Navarra;Vivienda nueva;2025;0
Total;31 Navarra;Vivienda nueva;2024;1
Total;31 Navarra;Vivienda nueva;2023;1
Total;31 Navarra;Vivienda nueva;2022;4
Total;31 Navarra;Vivienda nueva;2021;2
Total;31 Navarra;Vivienda nueva;2020;3
Total;31 Navarra;Vivienda nueva;2019;2
Total;31 Navarra;Vivienda nueva;2018;75
Total;31 Navarra;Vivienda nueva;2017;7
Total;31 Navarra;Vivienda nueva;2016;15
Total;31 Navarra;Vivienda nueva;2015;16
Total;31 Navarra;Vivienda nueva;2014;33
Total;31 Navarra;Vivienda segunda mano;2025;62
Total;31 Navarra;Vivienda segunda mano;2024;55
Total;31 Navarra;Vivienda segunda mano;2023;54
Total;31 Navarra;Vivienda segunda mano;2022;79
Total;31 Navarra;Vivienda segunda mano;2021;86
Total;31 Navarra;Vivienda segunda mano;2020;62
Total;31 Navarra;Vivienda segunda mano;2019;52
Total;31 Navarra;Vivienda segunda mano;2018;100
Total;31 Navarra;Vivienda segunda mano;2017;122
Total;31 Navarra;Vivienda segunda mano;2016;218
Total;31 Navarra;Vivienda segunda mano;2015;324
Total;31 Navarra;Vivienda segunda mano;2014;330
Total;32 Ourense;General;2025;42
Total;32 Ourense;General;2024;24
Total;32 Ourense;General;2023;14
Total;32 Ourense;General;2022;17
Total;32 Ourense;General;2021;18
Total;32 Ourense;General;2020;25
Total;32 Ourense;General;2019;53
Total;32 Ourense;General;2018;85
Total;32 Ourense;General;2017;35
Total;32 Ourense;General;2016;28
Total;32 Ourense;General;2015;42
Total;32 Ourense;General;2014;41
Total;32 Ourense;Vivienda nueva;2025;1
Total;32 Ourense;Vivienda nueva;2024;2
Total;32 Ourense;Vivienda nueva;2023;0
Total;32 Ourense;Vivienda nueva;2022;2
Total;32 Ourense;Vivienda nueva;2021;0
Total;32 Ourense;Vivienda nueva;2020;0
Total;32 Ourense;Vivienda nueva;2019;3
Total;32 Ourense;Vivienda nueva;2018;14
Total;32 Ourense;Vivienda nueva;2017;12
Total;32 Ourense;Vivienda nueva;2016;2
Total;32 Ourense;Vivienda nueva;2015;4
Total;32 Ourense;Vivienda nueva;2014;3
Total;32 Ourense;Vivienda segunda mano;2025;41
Total;32 Ourense;Vivienda segunda mano;2024;22
Total;32 Ourense;Vivienda segunda mano;2023;14
Total;32 Ourense;Vivienda segunda mano;2022;15
Total;32 Ourense;Vivienda segunda mano;2021;18
Total;32 Ourense;Vivienda segunda mano;2020;25
Total;32 Ourense;Vivienda segunda mano;2019;50
Total;32 Ourense;Vivienda segunda mano;2018;71
Total;32 Ourense;Vivienda segunda mano;2017;23
Total;32 Ourense;Vivienda segunda mano;2016;26
Total;32 Ourense;Vivienda segunda mano;2015;38
Total;32 Ourense;Vivienda segunda mano;2014;38
Total;34 Palencia;General;2025;32
Total;34 Palencia;General;2024;14
Total;34 Palencia;General;2023;19
Total;34 Palencia;General;2022;15
Total;34 Palencia;General;2021;24
Total;34 Palencia;General;2020;22
Total;34 Palencia;General;2019;30
Total;34 Palencia;General;2018;23
Total;34 Palencia;General;2017;20
Total;34 Palencia;General;2016;45
Total;34 Palencia;General;2015;106
Total;34 Palencia;General;2014;119
Total;34 Palencia;Vivienda nueva;2025;1
Total;34 Palencia;Vivienda nueva;2024;0
Total;34 Palencia;Vivienda nueva;2023;0
Total;34 Palencia;Vivienda nueva;2022;1
Total;34 Palencia;Vivienda nueva;2021;0
Total;34 Palencia;Vivienda nueva;2020;0
Total;34 Palencia;Vivienda nueva;2019;3
Total;34 Palencia;Vivienda nueva;2018;0
Total;34 Palencia;Vivienda nueva;2017;0
Total;34 Palencia;Vivienda nueva;2016;0
Total;34 Palencia;Vivienda nueva;2015;2
Total;34 Palencia;Vivienda nueva;2014;4
Total;34 Palencia;Vivienda segunda mano;2025;31
Total;34 Palencia;Vivienda segunda mano;2024;14
Total;34 Palencia;Vivienda segunda mano;2023;19
Total;34 Palencia;Vivienda segunda mano;2022;14
Total;34 Palencia;Vivienda segunda mano;2021;24
Total;34 Palencia;Vivienda segunda mano;2020;22
Total;34 Palencia;Vivienda segunda mano;2019;27
Total;34 Palencia;Vivienda segunda mano;2018;23
Total;34 Palencia;Vivienda segunda mano;2017;20
Total;34 Palencia;Vivienda segunda mano;2016;45
Total;34 Palencia;Vivienda segunda mano;2015;104
Total;34 Palencia;Vivienda segunda mano;2014;115
Total;35 Palmas, Las;General;2025;399
Total;35 Palmas, Las;General;2024;383
Total;35 Palmas, Las;General;2023;297
Total;35 Palmas, Las;General;2022;324
Total;35 Palmas, Las;General;2021;452
Total;35 Palmas, Las;General;2020;250
Total;35 Palmas, Las;General;2019;354
Total;35 Palmas, Las;General;2018;736
Total;35 Palmas, Las;General;2017;599
Total;35 Palmas, Las;General;2016;1.032
Total;35 Palmas, Las;General;2015;1.431
Total;35 Palmas, Las;General;2014;1.963
Total;35 Palmas, Las;Vivienda nueva;2025;35
Total;35 Palmas, Las;Vivienda nueva;2024;152
Total;35 Palmas, Las;Vivienda nueva;2023;18
Total;35 Palmas, Las;Vivienda nueva;2022;37
Total;35 Palmas, Las;Vivienda nueva;2021;58
Total;35 Palmas, Las;Vivienda nueva;2020;19
Total;35 Palmas, Las;Vivienda nueva;2019;40
Total;35 Palmas, Las;Vivienda nueva;2018;47
Total;35 Palmas, Las;Vivienda nueva;2017;119
Total;35 Palmas, Las;Vivienda nueva;2016;126
Total;35 Palmas, Las;Vivienda nueva;2015;154
Total;35 Palmas, Las;Vivienda nueva;2014;219
Total;35 Palmas, Las;Vivienda segunda mano;2025;364
Total;35 Palmas, Las;Vivienda segunda mano;2024;231
Total;35 Palmas, Las;Vivienda segunda mano;2023;279
Total;35 Palmas, Las;Vivienda segunda mano;2022;287
Total;35 Palmas, Las;Vivienda segunda mano;2021;394
Total;35 Palmas, Las;Vivienda segunda mano;2020;231
Total;35 Palmas, Las;Vivienda segunda mano;2019;314
Total;35 Palmas, Las;Vivienda segunda mano;2018;689
Total;35 Palmas, Las;Vivienda segunda mano;2017;480
Total;35 Palmas, Las;Vivienda segunda mano;2016;906
Total;35 Palmas, Las;Vivienda segunda mano;2015;1.277
Total;35 Palmas, Las;Vivienda segunda mano;2014;1.744
Total;36 Pontevedra;General;2025;176
Total;36 Pontevedra;General;2024;152
Total;36 Pontevedra;General;2023;127
Total;36 Pontevedra;General;2022;229
Total;36 Pontevedra;General;2021;266
Total;36 Pontevedra;General;2020;306
Total;36 Pontevedra;General;2019;572
Total;36 Pontevedra;General;2018;424
Total;36 Pontevedra;General;2017;247
Total;36 Pontevedra;General;2016;287
Total;36 Pontevedra;General;2015;593
Total;36 Pontevedra;General;2014;700
Total;36 Pontevedra;Vivienda nueva;2025;6
Total;36 Pontevedra;Vivienda nueva;2024;6
Total;36 Pontevedra;Vivienda nueva;2023;9
Total;36 Pontevedra;Vivienda nueva;2022;23
Total;36 Pontevedra;Vivienda nueva;2021;17
Total;36 Pontevedra;Vivienda nueva;2020;41
Total;36 Pontevedra;Vivienda nueva;2019;108
Total;36 Pontevedra;Vivienda nueva;2018;98
Total;36 Pontevedra;Vivienda nueva;2017;18
Total;36 Pontevedra;Vivienda nueva;2016;17
Total;36 Pontevedra;Vivienda nueva;2015;47
Total;36 Pontevedra;Vivienda nueva;2014;59
Total;36 Pontevedra;Vivienda segunda mano;2025;170
Total;36 Pontevedra;Vivienda segunda mano;2024;146
Total;36 Pontevedra;Vivienda segunda mano;2023;118
Total;36 Pontevedra;Vivienda segunda mano;2022;206
Total;36 Pontevedra;Vivienda segunda mano;2021;249
Total;36 Pontevedra;Vivienda segunda mano;2020;265
Total;36 Pontevedra;Vivienda segunda mano;2019;464
Total;36 Pontevedra;Vivienda segunda mano;2018;326
Total;36 Pontevedra;Vivienda segunda mano;2017;229
Total;36 Pontevedra;Vivienda segunda mano;2016;270
Total;36 Pontevedra;Vivienda segunda mano;2015;546
Total;36 Pontevedra;Vivienda segunda mano;2014;641
Total;26 Rioja, La;General;2025;85
Total;26 Rioja, La;General;2024;111
Total;26 Rioja, La;General;2023;100
Total;26 Rioja, La;General;2022;108
Total;26 Rioja, La;General;2021;136
Total;26 Rioja, La;General;2020;154
Total;26 Rioja, La;General;2019;143
Total;26 Rioja, La;General;2018;495
Total;26 Rioja, La;General;2017;165
Total;26 Rioja, La;General;2016;284
Total;26 Rioja, La;General;2015;272
Total;26 Rioja, La;General;2014;333
Total;26 Rioja, La;Vivienda nueva;2025;4
Total;26 Rioja, La;Vivienda nueva;2024;23
Total;26 Rioja, La;Vivienda nueva;2023;3
Total;26 Rioja, La;Vivienda nueva;2022;8
Total;26 Rioja, La;Vivienda nueva;2021;8
Total;26 Rioja, La;Vivienda nueva;2020;34
Total;26 Rioja, La;Vivienda nueva;2019;2
Total;26 Rioja, La;Vivienda nueva;2018;102
Total;26 Rioja, La;Vivienda nueva;2017;31
Total;26 Rioja, La;Vivienda nueva;2016;43
Total;26 Rioja, La;Vivienda nueva;2015;47
Total;26 Rioja, La;Vivienda nueva;2014;124
Total;26 Rioja, La;Vivienda segunda mano;2025;81
Total;26 Rioja, La;Vivienda segunda mano;2024;88
Total;26 Rioja, La;Vivienda segunda mano;2023;97
Total;26 Rioja, La;Vivienda segunda mano;2022;100
Total;26 Rioja, La;Vivienda segunda mano;2021;128
Total;26 Rioja, La;Vivienda segunda mano;2020;120
Total;26 Rioja, La;Vivienda segunda mano;2019;141
Total;26 Rioja, La;Vivienda segunda mano;2018;393
Total;26 Rioja, La;Vivienda segunda mano;2017;134
Total;26 Rioja, La;Vivienda segunda mano;2016;241
Total;26 Rioja, La;Vivienda segunda mano;2015;225
Total;26 Rioja, La;Vivienda segunda mano;2014;209
Total;37 Salamanca;General;2025;56
Total;37 Salamanca;General;2024;27
Total;37 Salamanca;General;2023;23
Total;37 Salamanca;General;2022;55
Total;37 Salamanca;General;2021;62
Total;37 Salamanca;General;2020;69
Total;37 Salamanca;General;2019;107
Total;37 Salamanca;General;2018;164
Total;37 Salamanca;General;2017;107
Total;37 Salamanca;General;2016;126
Total;37 Salamanca;General;2015;331
Total;37 Salamanca;General;2014;314
Total;37 Salamanca;Vivienda nueva;2025;2
Total;37 Salamanca;Vivienda nueva;2024;2
Total;37 Salamanca;Vivienda nueva;2023;0
Total;37 Salamanca;Vivienda nueva;2022;2
Total;37 Salamanca;Vivienda nueva;2021;5
Total;37 Salamanca;Vivienda nueva;2020;27
Total;37 Salamanca;Vivienda nueva;2019;3
Total;37 Salamanca;Vivienda nueva;2018;2
Total;37 Salamanca;Vivienda nueva;2017;4
Total;37 Salamanca;Vivienda nueva;2016;2
Total;37 Salamanca;Vivienda nueva;2015;15
Total;37 Salamanca;Vivienda nueva;2014;18
Total;37 Salamanca;Vivienda segunda mano;2025;54
Total;37 Salamanca;Vivienda segunda mano;2024;25
Total;37 Salamanca;Vivienda segunda mano;2023;23
Total;37 Salamanca;Vivienda segunda mano;2022;53
Total;37 Salamanca;Vivienda segunda mano;2021;57
Total;37 Salamanca;Vivienda segunda mano;2020;42
Total;37 Salamanca;Vivienda segunda mano;2019;104
Total;37 Salamanca;Vivienda segunda mano;2018;162
Total;37 Salamanca;Vivienda segunda mano;2017;103
Total;37 Salamanca;Vivienda segunda mano;2016;124
Total;37 Salamanca;Vivienda segunda mano;2015;316
Total;37 Salamanca;Vivienda segunda mano;2014;296
Total;38 Santa Cruz de Tenerife;General;2025;308
Total;38 Santa Cruz de Tenerife;General;2024;281
Total;38 Santa Cruz de Tenerife;General;2023;193
Total;38 Santa Cruz de Tenerife;General;2022;292
Total;38 Santa Cruz de Tenerife;General;2021;458
Total;38 Santa Cruz de Tenerife;General;2020;347
Total;38 Santa Cruz de Tenerife;General;2019;285
Total;38 Santa Cruz de Tenerife;General;2018;668
Total;38 Santa Cruz de Tenerife;General;2017;750
Total;38 Santa Cruz de Tenerife;General;2016;980
Total;38 Santa Cruz de Tenerife;General;2015;1.590
Total;38 Santa Cruz de Tenerife;General;2014;2.925
Total;38 Santa Cruz de Tenerife;Vivienda nueva;2025;31
Total;38 Santa Cruz de Tenerife;Vivienda nueva;2024;30
Total;38 Santa Cruz de Tenerife;Vivienda nueva;2023;13
Total;38 Santa Cruz de Tenerife;Vivienda nueva;2022;28
Total;38 Santa Cruz de Tenerife;Vivienda nueva;2021;35
Total;38 Santa Cruz de Tenerife;Vivienda nueva;2020;18
Total;38 Santa Cruz de Tenerife;Vivienda nueva;2019;83
Total;38 Santa Cruz de Tenerife;Vivienda nueva;2018;30
Total;38 Santa Cruz de Tenerife;Vivienda nueva;2017;99
Total;38 Santa Cruz de Tenerife;Vivienda nueva;2016;159
Total;38 Santa Cruz de Tenerife;Vivienda nueva;2015;161
Total;38 Santa Cruz de Tenerife;Vivienda nueva;2014;1.083
Total;38 Santa Cruz de Tenerife;Vivienda segunda mano;2025;277
Total;38 Santa Cruz de Tenerife;Vivienda segunda mano;2024;251
Total;38 Santa Cruz de Tenerife;Vivienda segunda mano;2023;180
Total;38 Santa Cruz de Tenerife;Vivienda segunda mano;2022;264
Total;38 Santa Cruz de Tenerife;Vivienda segunda mano;2021;423
Total;38 Santa Cruz de Tenerife;Vivienda segunda mano;2020;329
Total;38 Santa Cruz de Tenerife;Vivienda segunda mano;2019;202
Total;38 Santa Cruz de Tenerife;Vivienda segunda mano;2018;638
Total;38 Santa Cruz de Tenerife;Vivienda segunda mano;2017;651
Total;38 Santa Cruz de Tenerife;Vivienda segunda mano;2016;821
Total;38 Santa Cruz de Tenerife;Vivienda segunda mano;2015;1.429
Total;38 Santa Cruz de Tenerife;Vivienda segunda mano;2014;1.842
Total;40 Segovia;General;2025;33
Total;40 Segovia;General;2024;10
Total;40 Segovia;General;2023;15
Total;40 Segovia;General;2022;53
Total;40 Segovia;General;2021;37
Total;40 Segovia;General;2020;29
Total;40 Segovia;General;2019;56
Total;40 Segovia;General;2018;110
Total;40 Segovia;General;2017;71
Total;40 Segovia;General;2016;111
Total;40 Segovia;General;2015;136
Total;40 Segovia;General;2014;112
Total;40 Segovia;Vivienda nueva;2025;1
Total;40 Segovia;Vivienda nueva;2024;0
Total;40 Segovia;Vivienda nueva;2023;0
Total;40 Segovia;Vivienda nueva;2022;0
Total;40 Segovia;Vivienda nueva;2021;1
Total;40 Segovia;Vivienda nueva;2020;12
Total;40 Segovia;Vivienda nueva;2019;1
Total;40 Segovia;Vivienda nueva;2018;25
Total;40 Segovia;Vivienda nueva;2017;2
Total;40 Segovia;Vivienda nueva;2016;35
Total;40 Segovia;Vivienda nueva;2015;18
Total;40 Segovia;Vivienda nueva;2014;11
Total;40 Segovia;Vivienda segunda mano;2025;32
Total;40 Segovia;Vivienda segunda mano;2024;10
Total;40 Segovia;Vivienda segunda mano;2023;15
Total;40 Segovia;Vivienda segunda mano;2022;53
Total;40 Segovia;Vivienda segunda mano;2021;36
Total;40 Segovia;Vivienda segunda mano;2020;17
Total;40 Segovia;Vivienda segunda mano;2019;55
Total;40 Segovia;Vivienda segunda mano;2018;85
Total;40 Segovia;Vivienda segunda mano;2017;69
Total;40 Segovia;Vivienda segunda mano;2016;76
Total;40 Segovia;Vivienda segunda mano;2015;118
Total;40 Segovia;Vivienda segunda mano;2014;101
Total;41 Sevilla;General;2025;739
Total;41 Sevilla;General;2024;538
Total;41 Sevilla;General;2023;869
Total;41 Sevilla;General;2022;1.242
Total;41 Sevilla;General;2021;1.398
Total;41 Sevilla;General;2020;831
Total;41 Sevilla;General;2019;1.216
Total;41 Sevilla;General;2018;1.387
Total;41 Sevilla;General;2017;1.871
Total;41 Sevilla;General;2016;2.057
Total;41 Sevilla;General;2015;2.824
Total;41 Sevilla;General;2014;3.058
Total;41 Sevilla;Vivienda nueva;2025;40
Total;41 Sevilla;Vivienda nueva;2024;62
Total;41 Sevilla;Vivienda nueva;2023;191
Total;41 Sevilla;Vivienda nueva;2022;349
Total;41 Sevilla;Vivienda nueva;2021;398
Total;41 Sevilla;Vivienda nueva;2020;240
Total;41 Sevilla;Vivienda nueva;2019;322
Total;41 Sevilla;Vivienda nueva;2018;380
Total;41 Sevilla;Vivienda nueva;2017;408
Total;41 Sevilla;Vivienda nueva;2016;310
Total;41 Sevilla;Vivienda nueva;2015;485
Total;41 Sevilla;Vivienda nueva;2014;727
Total;41 Sevilla;Vivienda segunda mano;2025;699
Total;41 Sevilla;Vivienda segunda mano;2024;476
Total;41 Sevilla;Vivienda segunda mano;2023;678
Total;41 Sevilla;Vivienda segunda mano;2022;893
Total;41 Sevilla;Vivienda segunda mano;2021;1.000
Total;41 Sevilla;Vivienda segunda mano;2020;591
Total;41 Sevilla;Vivienda segunda mano;2019;894
Total;41 Sevilla;Vivienda segunda mano;2018;1.007
Total;41 Sevilla;Vivienda segunda mano;2017;1.463
Total;41 Sevilla;Vivienda segunda mano;2016;1.747
Total;41 Sevilla;Vivienda segunda mano;2015;2.339
Total;41 Sevilla;Vivienda segunda mano;2014;2.331
Total;42 Soria;General;2025;10
Total;42 Soria;General;2024;2
Total;42 Soria;General;2023;6
Total;42 Soria;General;2022;7
Total;42 Soria;General;2021;3
Total;42 Soria;General;2020;12
Total;42 Soria;General;2019;14
Total;42 Soria;General;2018;9
Total;42 Soria;General;2017;40
Total;42 Soria;General;2016;9
Total;42 Soria;General;2015;32
Total;42 Soria;General;2014;52
Total;42 Soria;Vivienda nueva;2025;0
Total;42 Soria;Vivienda nueva;2024;0
Total;42 Soria;Vivienda nueva;2023;0
Total;42 Soria;Vivienda nueva;2022;0
Total;42 Soria;Vivienda nueva;2021;0
Total;42 Soria;Vivienda nueva;2020;0
Total;42 Soria;Vivienda nueva;2019;1
Total;42 Soria;Vivienda nueva;2018;0
Total;42 Soria;Vivienda nueva;2017;0
Total;42 Soria;Vivienda nueva;2016;0
Total;42 Soria;Vivienda nueva;2015;0
Total;42 Soria;Vivienda nueva;2014;1
Total;42 Soria;Vivienda segunda mano;2025;10
Total;42 Soria;Vivienda segunda mano;2024;2
Total;42 Soria;Vivienda segunda mano;2023;6
Total;42 Soria;Vivienda segunda mano;2022;7
Total;42 Soria;Vivienda segunda mano;2021;3
Total;42 Soria;Vivienda segunda mano;2020;12
Total;42 Soria;Vivienda segunda mano;2019;13
Total;42 Soria;Vivienda segunda mano;2018;9
Total;42 Soria;Vivienda segunda mano;2017;40
Total;42 Soria;Vivienda segunda mano;2016;9
Total;42 Soria;Vivienda segunda mano;2015;32
Total;42 Soria;Vivienda segunda mano;2014;51
Total;43 Tarragona;General;2025;425
Total;43 Tarragona;General;2024;454
Total;43 Tarragona;General;2023;605
Total;43 Tarragona;General;2022;529
Total;43 Tarragona;General;2021;654
Total;43 Tarragona;General;2020;472
Total;43 Tarragona;General;2019;1.348
Total;43 Tarragona;General;2018;871
Total;43 Tarragona;General;2017;782
Total;43 Tarragona;General;2016;1.529
Total;43 Tarragona;General;2015;1.884
Total;43 Tarragona;General;2014;2.323
Total;43 Tarragona;Vivienda nueva;2025;19
Total;43 Tarragona;Vivienda nueva;2024;12
Total;43 Tarragona;Vivienda nueva;2023;22
Total;43 Tarragona;Vivienda nueva;2022;22
Total;43 Tarragona;Vivienda nueva;2021;32
Total;43 Tarragona;Vivienda nueva;2020;46
Total;43 Tarragona;Vivienda nueva;2019;230
Total;43 Tarragona;Vivienda nueva;2018;48
Total;43 Tarragona;Vivienda nueva;2017;36
Total;43 Tarragona;Vivienda nueva;2016;146
Total;43 Tarragona;Vivienda nueva;2015;88
Total;43 Tarragona;Vivienda nueva;2014;134
Total;43 Tarragona;Vivienda segunda mano;2025;406
Total;43 Tarragona;Vivienda segunda mano;2024;442
Total;43 Tarragona;Vivienda segunda mano;2023;583
Total;43 Tarragona;Vivienda segunda mano;2022;507
Total;43 Tarragona;Vivienda segunda mano;2021;622
Total;43 Tarragona;Vivienda segunda mano;2020;426
Total;43 Tarragona;Vivienda segunda mano;2019;1.118
Total;43 Tarragona;Vivienda segunda mano;2018;823
Total;43 Tarragona;Vivienda segunda mano;2017;746
Total;43 Tarragona;Vivienda segunda mano;2016;1.383
Total;43 Tarragona;Vivienda segunda mano;2015;1.796
Total;43 Tarragona;Vivienda segunda mano;2014;2.189
Total;44 Teruel;General;2025;7
Total;44 Teruel;General;2024;9
Total;44 Teruel;General;2023;17
Total;44 Teruel;General;2022;16
Total;44 Teruel;General;2021;37
Total;44 Teruel;General;2020;23
Total;44 Teruel;General;2019;74
Total;44 Teruel;General;2018;48
Total;44 Teruel;General;2017;97
Total;44 Teruel;General;2016;76
Total;44 Teruel;General;2015;94
Total;44 Teruel;General;2014;104
Total;44 Teruel;Vivienda nueva;2025;0
Total;44 Teruel;Vivienda nueva;2024;1
Total;44 Teruel;Vivienda nueva;2023;3
Total;44 Teruel;Vivienda nueva;2022;1
Total;44 Teruel;Vivienda nueva;2021;3
Total;44 Teruel;Vivienda nueva;2020;4
Total;44 Teruel;Vivienda nueva;2019;46
Total;44 Teruel;Vivienda nueva;2018;1
Total;44 Teruel;Vivienda nueva;2017;33
Total;44 Teruel;Vivienda nueva;2016;5
Total;44 Teruel;Vivienda nueva;2015;9
Total;44 Teruel;Vivienda nueva;2014;6
Total;44 Teruel;Vivienda segunda mano;2025;7
Total;44 Teruel;Vivienda segunda mano;2024;8
Total;44 Teruel;Vivienda segunda mano;2023;14
Total;44 Teruel;Vivienda segunda mano;2022;15
Total;44 Teruel;Vivienda segunda mano;2021;34
Total;44 Teruel;Vivienda segunda mano;2020;19
Total;44 Teruel;Vivienda segunda mano;2019;28
Total;44 Teruel;Vivienda segunda mano;2018;47
Total;44 Teruel;Vivienda segunda mano;2017;64
Total;44 Teruel;Vivienda segunda mano;2016;71
Total;44 Teruel;Vivienda segunda mano;2015;85
Total;44 Teruel;Vivienda segunda mano;2014;98
Total;45 Toledo;General;2025;417
Total;45 Toledo;General;2024;269
Total;45 Toledo;General;2023;274
Total;45 Toledo;General;2022;340
Total;45 Toledo;General;2021;440
Total;45 Toledo;General;2020;314
Total;45 Toledo;General;2019;980
Total;45 Toledo;General;2018;827
Total;45 Toledo;General;2017;561
Total;45 Toledo;General;2016;922
Total;45 Toledo;General;2015;1.565
Total;45 Toledo;General;2014;2.383
Total;45 Toledo;Vivienda nueva;2025;22
Total;45 Toledo;Vivienda nueva;2024;33
Total;45 Toledo;Vivienda nueva;2023;26
Total;45 Toledo;Vivienda nueva;2022;21
Total;45 Toledo;Vivienda nueva;2021;94
Total;45 Toledo;Vivienda nueva;2020;19
Total;45 Toledo;Vivienda nueva;2019;106
Total;45 Toledo;Vivienda nueva;2018;90
Total;45 Toledo;Vivienda nueva;2017;50
Total;45 Toledo;Vivienda nueva;2016;67
Total;45 Toledo;Vivienda nueva;2015;239
Total;45 Toledo;Vivienda nueva;2014;288
Total;45 Toledo;Vivienda segunda mano;2025;395
Total;45 Toledo;Vivienda segunda mano;2024;236
Total;45 Toledo;Vivienda segunda mano;2023;248
Total;45 Toledo;Vivienda segunda mano;2022;319
Total;45 Toledo;Vivienda segunda mano;2021;346
Total;45 Toledo;Vivienda segunda mano;2020;295
Total;45 Toledo;Vivienda segunda mano;2019;874
Total;45 Toledo;Vivienda segunda mano;2018;737
Total;45 Toledo;Vivienda segunda mano;2017;511
Total;45 Toledo;Vivienda segunda mano;2016;855
Total;45 Toledo;Vivienda segunda mano;2015;1.326
Total;45 Toledo;Vivienda segunda mano;2014;2.095
Total;46 Valencia/València;General;2025;1.180
Total;46 Valencia/València;General;2024;920
Total;46 Valencia/València;General;2023;1.155
Total;46 Valencia/València;General;2022;1.498
Total;46 Valencia/València;General;2021;2.028
Total;46 Valencia/València;General;2020;2.480
Total;46 Valencia/València;General;2019;2.419
Total;46 Valencia/València;General;2018;2.113
Total;46 Valencia/València;General;2017;2.312
Total;46 Valencia/València;General;2016;1.746
Total;46 Valencia/València;General;2015;4.471
Total;46 Valencia/València;General;2014;5.268
Total;46 Valencia/València;Vivienda nueva;2025;236
Total;46 Valencia/València;Vivienda nueva;2024;26
Total;46 Valencia/València;Vivienda nueva;2023;43
Total;46 Valencia/València;Vivienda nueva;2022;166
Total;46 Valencia/València;Vivienda nueva;2021;271
Total;46 Valencia/València;Vivienda nueva;2020;446
Total;46 Valencia/València;Vivienda nueva;2019;871
Total;46 Valencia/València;Vivienda nueva;2018;562
Total;46 Valencia/València;Vivienda nueva;2017;622
Total;46 Valencia/València;Vivienda nueva;2016;357
Total;46 Valencia/València;Vivienda nueva;2015;628
Total;46 Valencia/València;Vivienda nueva;2014;580
Total;46 Valencia/València;Vivienda segunda mano;2025;944
Total;46 Valencia/València;Vivienda segunda mano;2024;894
Total;46 Valencia/València;Vivienda segunda mano;2023;1.112
Total;46 Valencia/València;Vivienda segunda mano;2022;1.332
Total;46 Valencia/València;Vivienda segunda mano;2021;1.757
Total;46 Valencia/València;Vivienda segunda mano;2020;2.034
Total;46 Valencia/València;Vivienda segunda mano;2019;1.548
Total;46 Valencia/València;Vivienda segunda mano;2018;1.551
Total;46 Valencia/València;Vivienda segunda mano;2017;1.690
Total;46 Valencia/València;Vivienda segunda mano;2016;1.389
Total;46 Valencia/València;Vivienda segunda mano;2015;3.843
Total;46 Valencia/València;Vivienda segunda mano;2014;4.688
Total;47 Valladolid;General;2025;80
Total;47 Valladolid;General;2024;139
Total;47 Valladolid;General;2023;71
Total;47 Valladolid;General;2022;52
Total;47 Valladolid;General;2021;52
Total;47 Valladolid;General;2020;66
Total;47 Valladolid;General;2019;65
Total;47 Valladolid;General;2018;82
Total;47 Valladolid;General;2017;93
Total;47 Valladolid;General;2016;209
Total;47 Valladolid;General;2015;454
Total;47 Valladolid;General;2014;873
Total;47 Valladolid;Vivienda nueva;2025;0
Total;47 Valladolid;Vivienda nueva;2024;3
Total;47 Valladolid;Vivienda nueva;2023;1
Total;47 Valladolid;Vivienda nueva;2022;2
Total;47 Valladolid;Vivienda nueva;2021;2
Total;47 Valladolid;Vivienda nueva;2020;3
Total;47 Valladolid;Vivienda nueva;2019;3
Total;47 Valladolid;Vivienda nueva;2018;21
Total;47 Valladolid;Vivienda nueva;2017;3
Total;47 Valladolid;Vivienda nueva;2016;56
Total;47 Valladolid;Vivienda nueva;2015;178
Total;47 Valladolid;Vivienda nueva;2014;248
Total;47 Valladolid;Vivienda segunda mano;2025;80
Total;47 Valladolid;Vivienda segunda mano;2024;136
Total;47 Valladolid;Vivienda segunda mano;2023;70
Total;47 Valladolid;Vivienda segunda mano;2022;50
Total;47 Valladolid;Vivienda segunda mano;2021;50
Total;47 Valladolid;Vivienda segunda mano;2020;63
Total;47 Valladolid;Vivienda segunda mano;2019;62
Total;47 Valladolid;Vivienda segunda mano;2018;61
Total;47 Valladolid;Vivienda segunda mano;2017;90
Total;47 Valladolid;Vivienda segunda mano;2016;153
Total;47 Valladolid;Vivienda segunda mano;2015;276
Total;47 Valladolid;Vivienda segunda mano;2014;625
Total;49 Zamora;General;2025;36
Total;49 Zamora;General;2024;19
Total;49 Zamora;General;2023;21
Total;49 Zamora;General;2022;21
Total;49 Zamora;General;2021;35
Total;49 Zamora;General;2020;66
Total;49 Zamora;General;2019;63
Total;49 Zamora;General;2018;26
Total;49 Zamora;General;2017;51
Total;49 Zamora;General;2016;84
Total;49 Zamora;General;2015;61
Total;49 Zamora;General;2014;117
Total;49 Zamora;Vivienda nueva;2025;0
Total;49 Zamora;Vivienda nueva;2024;0
Total;49 Zamora;Vivienda nueva;2023;0
Total;49 Zamora;Vivienda nueva;2022;0
