Total Nacional;Provincias;Estado de la vivienda;Periodo;Total
Total;05 Ávila;Vivienda nueva;2017;69
Total;05 Ávila;Vivienda nueva;2016;1
Total;05 Ávila;Vivienda nueva;2015;71
Total;05 Ávila;Vivienda nueva;2014;48
Total;05 Ávila;Vivienda segunda mano;2025;33
Total;05 Ávila;Vivienda segunda mano;2024;43
Total;05 Ávila;Vivienda segunda mano;2023;30
Total;05 Ávila;Vivienda segunda mano;2022;34
Total;05 Ávila;Vivienda segunda mano;2021;27
Total;05 Ávila;Vivienda segunda mano;2020;19
Total;05 Ávila;Vivienda segunda mano;2019;46
Total;05 Ávila;Vivienda segunda mano;2018;130
Total;05 Ávila;Vivienda segunda mano;2017;74
Total;05 Ávila;Vivienda segunda mano;2016;129
Total;05 Ávila;Vivienda segunda mano;2015;106
Total;05 Ávila;Vivienda segunda mano;2014;112
Total;06 Badajoz;General;2025;158
Total;06 Badajoz;General;2024;118
Total;06 Badajoz;General;2023;100
Total;06 Badajoz;General;2022;166
Total;06 Badajoz;General;2021;193
Total;06 Badajoz;General;2020;121
Total;06 Badajoz;General;2019;197
Total;06 Badajoz;General;2018;290
Total;06 Badajoz;General;2017;200
Total;06 Badajoz;General;2016;342
Total;06 Badajoz;General;2015;593
Total;06 Badajoz;General;2014;1.014
Total;06 Badajoz;Vivienda nueva;2025;13
Total;06 Badajoz;Vivienda nueva;2024;4
Total;06 Badajoz;Vivienda nueva;2023;5
Total;06 Badajoz;Vivienda nueva;2022;11
Total;06 Badajoz;Vivienda nueva;2021;6
Total;06 Badajoz;Vivienda nueva;2020;10
Total;06 Badajoz;Vivienda nueva;2019;7
Total;06 Badajoz;Vivienda nueva;2018;49
Total;06 Badajoz;Vivienda nueva;2017;19
Total;06 Badajoz;Vivienda nueva;2016;4
Total;06 Badajoz;Vivienda nueva;2015;51
Total;06 Badajoz;Vivienda nueva;2014;127
Total;06 Badajoz;Vivienda segunda mano;2025;145
Total;06 Badajoz;Vivienda segunda mano;2024;114
Total;06 Badajoz;Vivienda segunda mano;2023;95
Total;06 Badajoz;Vivienda segunda mano;2022;155
Total;06 Badajoz;Vivienda segunda mano;2021;187
Total;06 Badajoz;Vivienda segunda mano;2020;111
Total;06 Badajoz;Vivienda segunda mano;2019;190
Total;06 Badajoz;Vivienda segunda mano;2018;241
Total;06 Badajoz;Vivienda segunda mano;2017;181
Total;06 Badajoz;Vivienda segunda mano;2016;338
Total;06 Badajoz;Vivienda segunda mano;2015;542
Total;06 Badajoz;Vivienda segunda mano;2014;887
Total;07 Balears, Illes;General;2025;167
Total;07 Balears, Illes;General;2024;185
Total;07 Balears, Illes;General;2023;169
Total;07 Balears, Illes;General;2022;323
Total;07 Balears, Illes;General;2021;224
Total;07 Balears, Illes;General;2020;371
Total;07 Balears, Illes;General;2019;411
Total;07 Balears, Illes;General;2018;395
Total;07 Balears, Illes;General;2017;514
Total;07 Balears, Illes;General;2016;753
Total;07 Balears, Illes;General;2015;1.328
Total;07 Balears, Illes;General;2014;1.941
Total;07 Balears, Illes;Vivienda nueva;2025;4
Total;07 Balears, Illes;Vivienda nueva;2024;9
Total;07 Balears, Illes;Vivienda nueva;2023;9
Total;07 Balears, Illes;Vivienda nueva;2022;70
Total;07 Balears, Illes;Vivienda nueva;2021;28
Total;07 Balears, Illes;Vivienda nueva;2020;93
Total;07 Balears, Illes;Vivienda nueva;2019;96
Total;07 Balears, Illes;Vivienda nueva;2018;75
Total;07 Balears, Illes;Vivienda nueva;2017;33
Total;07 Balears, Illes;Vivienda nueva;2016;76
Total;07 Balears, Illes;Vivienda nueva;2015;91
Total;07 Balears, Illes;Vivienda nueva;2014;245
Total;07 Balears, Illes;Vivienda segunda mano;2025;163
Total;07 Balears, Illes;Vivienda segunda mano;2024;176
Total;07 Balears, Illes;Vivienda segunda mano;2023;160
Total;07 Balears, Illes;Vivienda segunda mano;2022;253
Total;07 Balears, Illes;Vivienda segunda mano;2021;196
Total;07 Balears, Illes;Vivienda segunda mano;2020;278
Total;07 Balears, Illes;Vivienda segunda mano;2019;315
Total;07 Balears, Illes;Vivienda segunda mano;2018;320
Total;07 Balears, Illes;Vivienda segunda mano;2017;481
Total;07 Balears, Illes;Vivienda segunda mano;2016;677
Total;07 Balears, Illes;Vivienda segunda mano;2015;1.237
Total;07 Balears, Illes;Vivienda segunda mano;2014;1.696
Total;08 Barcelona;General;2025;1.968
Total;08 Barcelona;General;2024;1.668
Total;08 Barcelona;General;2023;1.656
Total;08 Barcelona;General;2022;1.926
Total;08 Barcelona;General;2021;2.370
Total;08 Barcelona;General;2020;2.082
Total;08 Barcelona;General;2019;2.859
Total;08 Barcelona;General;2018;2.217
Total;08 Barcelona;General;2017;2.224
Total;08 Barcelona;General;2016;3.819
Total;08 Barcelona;General;2015;6.507
Total;08 Barcelona;General;2014;9.026
Total;08 Barcelona;Vivienda nueva;2025;66
Total;08 Barcelona;Vivienda nueva;2024;46
Total;08 Barcelona;Vivienda nueva;2023;142
Total;08 Barcelona;Vivienda nueva;2022;86
Total;08 Barcelona;Vivienda nueva;2021;84
Total;08 Barcelona;Vivienda nueva;2020;102
Total;08 Barcelona;Vivienda nueva;2019;329
Total;08 Barcelona;Vivienda nueva;2018;202
Total;08 Barcelona;Vivienda nueva;2017;222
Total;08 Barcelona;Vivienda nueva;2016;213
Total;08 Barcelona;Vivienda nueva;2015;451
