Provincias;Naturaleza de la finca;Número e importe;Periodo;Total
25 Lleida;Viviendas;Número de hipotecas;2005M11;1.087
25 Lleida;Viviendas;Número de hipotecas;2005M10;986
25 Lleida;Viviendas;Número de hipotecas;2005M09;943
25 Lleida;Viviendas;Número de hipotecas;2005M08;763
25 Lleida;Viviendas;Número de hipotecas;2005M07;789
25 Lleida;Viviendas;Número de hipotecas;2005M06;952
25 Lleida;Viviendas;Número de hipotecas;2005M05;1.067
25 Lleida;Viviendas;Número de hipotecas;2005M04;1.079
25 Lleida;Viviendas;Número de hipotecas;2005M03;963
25 Lleida;Viviendas;Número de hipotecas;2005M02;1.039
25 Lleida;Viviendas;Número de hipotecas;2005M01;844
25 Lleida;Viviendas;Número de hipotecas;2004M12;871
25 Lleida;Viviendas;Número de hipotecas;2004M11;804
25 Lleida;Viviendas;Número de hipotecas;2004M10;947
25 Lleida;Viviendas;Número de hipotecas;2004M09;728
25 Lleida;Viviendas;Número de hipotecas;2004M08;866
25 Lleida;Viviendas;Número de hipotecas;2004M07;752
25 Lleida;Viviendas;Número de hipotecas;2004M06;755
25 Lleida;Viviendas;Número de hipotecas;2004M05;561
25 Lleida;Viviendas;Número de hipotecas;2004M04;494
25 Lleida;Viviendas;Número de hipotecas;2004M03;980
25 Lleida;Viviendas;Número de hipotecas;2004M02;523
25 Lleida;Viviendas;Número de hipotecas;2004M01;613
25 Lleida;Viviendas;Número de hipotecas;2003M12;503
25 Lleida;Viviendas;Número de hipotecas;2003M11;701
25 Lleida;Viviendas;Número de hipotecas;2003M10;834
25 Lleida;Viviendas;Número de hipotecas;2003M09;707
25 Lleida;Viviendas;Número de hipotecas;2003M08;581
25 Lleida;Viviendas;Número de hipotecas;2003M07;709
25 Lleida;Viviendas;Número de hipotecas;2003M06;751
25 Lleida;Viviendas;Número de hipotecas;2003M05;395
25 Lleida;Viviendas;Número de hipotecas;2003M04;630
25 Lleida;Viviendas;Número de hipotecas;2003M03;842
25 Lleida;Viviendas;Número de hipotecas;2003M02;734
25 Lleida;Viviendas;Número de hipotecas;2003M01;752
25 Lleida;Viviendas;Importe de hipotecas;2026M02;46.830
25 Lleida;Viviendas;Importe de hipotecas;2026M01;42.851
25 Lleida;Viviendas;Importe de hipotecas;2025M12;36.090
25 Lleida;Viviendas;Importe de hipotecas;2025M11;45.132
25 Lleida;Viviendas;Importe de hipotecas;2025M10;48.999
25 Lleida;Viviendas;Importe de hipotecas;2025M09;37.513
25 Lleida;Viviendas;Importe de hipotecas;2025M08;27.872
25 Lleida;Viviendas;Importe de hipotecas;2025M07;40.268
25 Lleida;Viviendas;Importe de hipotecas;2025M06;42.370
25 Lleida;Viviendas;Importe de hipotecas;2025M05;37.376
25 Lleida;Viviendas;Importe de hipotecas;2025M04;32.890
25 Lleida;Viviendas;Importe de hipotecas;2025M03;45.068
25 Lleida;Viviendas;Importe de hipotecas;2025M02;42.939
25 Lleida;Viviendas;Importe de hipotecas;2025M01;30.380
25 Lleida;Viviendas;Importe de hipotecas;2024M12;31.366
25 Lleida;Viviendas;Importe de hipotecas;2024M11;42.034
25 Lleida;Viviendas;Importe de hipotecas;2024M10;51.802
25 Lleida;Viviendas;Importe de hipotecas;2024M09;41.829
25 Lleida;Viviendas;Importe de hipotecas;2024M08;24.558
25 Lleida;Viviendas;Importe de hipotecas;2024M07;22.361
25 Lleida;Viviendas;Importe de hipotecas;2024M06;25.689
25 Lleida;Viviendas;Importe de hipotecas;2024M05;19.309
25 Lleida;Viviendas;Importe de hipotecas;2024M04;20.971
25 Lleida;Viviendas;Importe de hipotecas;2024M03;30.853
25 Lleida;Viviendas;Importe de hipotecas;2024M02;30.746
25 Lleida;Viviendas;Importe de hipotecas;2024M01;23.916
25 Lleida;Viviendas;Importe de hipotecas;2023M12;18.424
25 Lleida;Viviendas;Importe de hipotecas;2023M11;23.297
25 Lleida;Viviendas;Importe de hipotecas;2023M10;36.227
25 Lleida;Viviendas;Importe de hipotecas;2023M09;22.062
25 Lleida;Viviendas;Importe de hipotecas;2023M08;29.631
25 Lleida;Viviendas;Importe de hipotecas;2023M07;20.721
25 Lleida;Viviendas;Importe de hipotecas;2023M06;27.385
25 Lleida;Viviendas;Importe de hipotecas;2023M05;22.893
25 Lleida;Viviendas;Importe de hipotecas;2023M04;20.380
25 Lleida;Viviendas;Importe de hipotecas;2023M03;32.025
25 Lleida;Viviendas;Importe de hipotecas;2023M02;29.871
25 Lleida;Viviendas;Importe de hipotecas;2023M01;34.928
25 Lleida;Viviendas;Importe de hipotecas;2022M12;27.077
25 Lleida;Viviendas;Importe de hipotecas;2022M11;31.578
25 Lleida;Viviendas;Importe de hipotecas;2022M10;33.194
25 Lleida;Viviendas;Importe de hipotecas;2022M09;27.688
25 Lleida;Viviendas;Importe de hipotecas;2022M08;21.650
25 Lleida;Viviendas;Importe de hipotecas;2022M07;26.056
25 Lleida;Viviendas;Importe de hipotecas;2022M06;37.501
25 Lleida;Viviendas;Importe de hipotecas;2022M05;31.963
25 Lleida;Viviendas;Importe de hipotecas;2022M04;29.319
25 Lleida;Viviendas;Importe de hipotecas;2022M03;34.191
25 Lleida;Viviendas;Importe de hipotecas;2022M02;27.833
25 Lleida;Viviendas;Importe de hipotecas;2022M01;25.128
25 Lleida;Viviendas;Importe de hipotecas;2021M12;25.235
25 Lleida;Viviendas;Importe de hipotecas;2021M11;26.815
25 Lleida;Viviendas;Importe de hipotecas;2021M10;30.092
25 Lleida;Viviendas;Importe de hipotecas;2021M09;21.436
25 Lleida;Viviendas;Importe de hipotecas;2021M08;25.648
25 Lleida;Viviendas;Importe de hipotecas;2021M07;21.345
25 Lleida;Viviendas;Importe de hipotecas;2021M06;25.445
25 Lleida;Viviendas;Importe de hipotecas;2021M05;27.393
25 Lleida;Viviendas;Importe de hipotecas;2021M04;22.428
25 Lleida;Viviendas;Importe de hipotecas;2021M03;27.687
25 Lleida;Viviendas;Importe de hipotecas;2021M02;26.090
25 Lleida;Viviendas;Importe de hipotecas;2021M01;16.921
25 Lleida;Viviendas;Importe de hipotecas;2020M12;17.594
25 Lleida;Viviendas;Importe de hipotecas;2020M11;15.065
25 Lleida;Viviendas;Importe de hipotecas;2020M10;17.418
25 Lleida;Viviendas;Importe de hipotecas;2020M09;14.337
25 Lleida;Viviendas;Importe de hipotecas;2020M08;10.759
25 Lleida;Viviendas;Importe de hipotecas;2020M07;12.718
25 Lleida;Viviendas;Importe de hipotecas;2020M06;14.732
25 Lleida;Viviendas;Importe de hipotecas;2020M05;12.243
25 Lleida;Viviendas;Importe de hipotecas;2020M04;14.371
25 Lleida;Viviendas;Importe de hipotecas;2020M03;19.917
25 Lleida;Viviendas;Importe de hipotecas;2020M02;19.172
25 Lleida;Viviendas;Importe de hipotecas;2020M01;17.121
25 Lleida;Viviendas;Importe de hipotecas;2019M12;15.211
25 Lleida;Viviendas;Importe de hipotecas;2019M11;13.796
25 Lleida;Viviendas;Importe de hipotecas;2019M10;13.264
25 Lleida;Viviendas;Importe de hipotecas;2019M09;12.965
25 Lleida;Viviendas;Importe de hipotecas;2019M08;15.698
25 Lleida;Viviendas;Importe de hipotecas;2019M07;21.915
25 Lleida;Viviendas;Importe de hipotecas;2019M06;13.193
25 Lleida;Viviendas;Importe de hipotecas;2019M05;16.892
25 Lleida;Viviendas;Importe de hipotecas;2019M04;16.223
25 Lleida;Viviendas;Importe de hipotecas;2019M03;18.118
25 Lleida;Viviendas;Importe de hipotecas;2019M02;17.044
25 Lleida;Viviendas;Importe de hipotecas;2019M01;15.680
25 Lleida;Viviendas;Importe de hipotecas;2018M12;11.367
25 Lleida;Viviendas;Importe de hipotecas;2018M11;16.550
25 Lleida;Viviendas;Importe de hipotecas;2018M10;21.562
25 Lleida;Viviendas;Importe de hipotecas;2018M09;16.832
25 Lleida;Viviendas;Importe de hipotecas;2018M08;18.578
25 Lleida;Viviendas;Importe de hipotecas;2018M07;14.772
25 Lleida;Viviendas;Importe de hipotecas;2018M06;17.774
25 Lleida;Viviendas;Importe de hipotecas;2018M05;14.431
25 Lleida;Viviendas;Importe de hipotecas;2018M04;13.697
25 Lleida;Viviendas;Importe de hipotecas;2018M03;13.027
25 Lleida;Viviendas;Importe de hipotecas;2018M02;10.904
25 Lleida;Viviendas;Importe de hipotecas;2018M01;15.640
25 Lleida;Viviendas;Importe de hipotecas;2017M12;13.813
25 Lleida;Viviendas;Importe de hipotecas;2017M11;11.877
25 Lleida;Viviendas;Importe de hipotecas;2017M10;13.390
25 Lleida;Viviendas;Importe de hipotecas;2017M09;13.877
25 Lleida;Viviendas;Importe de hipotecas;2017M08;13.358
25 Lleida;Viviendas;Importe de hipotecas;2017M07;13.892
25 Lleida;Viviendas;Importe de hipotecas;2017M06;17.033
25 Lleida;Viviendas;Importe de hipotecas;2017M05;12.868
25 Lleida;Viviendas;Importe de hipotecas;2017M04;10.024
25 Lleida;Viviendas;Importe de hipotecas;2017M03;16.020
25 Lleida;Viviendas;Importe de hipotecas;2017M02;14.474
25 Lleida;Viviendas;Importe de hipotecas;2017M01;14.404
25 Lleida;Viviendas;Importe de hipotecas;2016M12;11.537
25 Lleida;Viviendas;Importe de hipotecas;2016M11;12.732
25 Lleida;Viviendas;Importe de hipotecas;2016M10;13.967
25 Lleida;Viviendas;Importe de hipotecas;2016M09;15.018
25 Lleida;Viviendas;Importe de hipotecas;2016M08;14.475
25 Lleida;Viviendas;Importe de hipotecas;2016M07;13.305
25 Lleida;Viviendas;Importe de hipotecas;2016M06;13.237
25 Lleida;Viviendas;Importe de hipotecas;2016M05;26.628
25 Lleida;Viviendas;Importe de hipotecas;2016M04;17.084
25 Lleida;Viviendas;Importe de hipotecas;2016M03;15.129
25 Lleida;Viviendas;Importe de hipotecas;2016M02;19.616
25 Lleida;Viviendas;Importe de hipotecas;2016M01;13.896
25 Lleida;Viviendas;Importe de hipotecas;2015M12;10.113
25 Lleida;Viviendas;Importe de hipotecas;2015M11;17.519
25 Lleida;Viviendas;Importe de hipotecas;2015M10;13.814
25 Lleida;Viviendas;Importe de hipotecas;2015M09;23.160
25 Lleida;Viviendas;Importe de hipotecas;2015M08;8.394
25 Lleida;Viviendas;Importe de hipotecas;2015M07;9.118
25 Lleida;Viviendas;Importe de hipotecas;2015M06;9.045
25 Lleida;Viviendas;Importe de hipotecas;2015M05;12.703
25 Lleida;Viviendas;Importe de hipotecas;2015M04;13.155
25 Lleida;Viviendas;Importe de hipotecas;2015M03;15.328
25 Lleida;Viviendas;Importe de hipotecas;2015M02;13.106
25 Lleida;Viviendas;Importe de hipotecas;2015M01;8.937
25 Lleida;Viviendas;Importe de hipotecas;2014M12;8.122
25 Lleida;Viviendas;Importe de hipotecas;2014M11;6.608
25 Lleida;Viviendas;Importe de hipotecas;2014M10;8.328
25 Lleida;Viviendas;Importe de hipotecas;2014M09;7.665
25 Lleida;Viviendas;Importe de hipotecas;2014M08;6.837
25 Lleida;Viviendas;Importe de hipotecas;2014M07;9.124
25 Lleida;Viviendas;Importe de hipotecas;2014M06;5.170
25 Lleida;Viviendas;Importe de hipotecas;2014M05;10.438
25 Lleida;Viviendas;Importe de hipotecas;2014M04;7.320
25 Lleida;Viviendas;Importe de hipotecas;2014M03;8.932
25 Lleida;Viviendas;Importe de hipotecas;2014M02;9.388
25 Lleida;Viviendas;Importe de hipotecas;2014M01;10.274
25 Lleida;Viviendas;Importe de hipotecas;2013M12;7.606
25 Lleida;Viviendas;Importe de hipotecas;2013M11;7.947
25 Lleida;Viviendas;Importe de hipotecas;2013M10;6.268
25 Lleida;Viviendas;Importe de hipotecas;2013M09;8.832
25 Lleida;Viviendas;Importe de hipotecas;2013M08;9.599
25 Lleida;Viviendas;Importe de hipotecas;2013M07;8.685
25 Lleida;Viviendas;Importe de hipotecas;2013M06;8.832
25 Lleida;Viviendas;Importe de hipotecas;2013M05;11.396
25 Lleida;Viviendas;Importe de hipotecas;2013M04;10.066
25 Lleida;Viviendas;Importe de hipotecas;2013M03;12.069
25 Lleida;Viviendas;Importe de hipotecas;2013M02;22.257
25 Lleida;Viviendas;Importe de hipotecas;2013M01;16.478
25 Lleida;Viviendas;Importe de hipotecas;2012M12;11.753
25 Lleida;Viviendas;Importe de hipotecas;2012M11;9.036
25 Lleida;Viviendas;Importe de hipotecas;2012M10;13.649
25 Lleida;Viviendas;Importe de hipotecas;2012M09;13.420
25 Lleida;Viviendas;Importe de hipotecas;2012M08;11.965
25 Lleida;Viviendas;Importe de hipotecas;2012M07;16.550
25 Lleida;Viviendas;Importe de hipotecas;2012M06;19.547
25 Lleida;Viviendas;Importe de hipotecas;2012M05;17.810
25 Lleida;Viviendas;Importe de hipotecas;2012M04;22.713
25 Lleida;Viviendas;Importe de hipotecas;2012M03;20.230
25 Lleida;Viviendas;Importe de hipotecas;2012M02;21.609
25 Lleida;Viviendas;Importe de hipotecas;2012M01;17.179
25 Lleida;Viviendas;Importe de hipotecas;2011M12;11.033
25 Lleida;Viviendas;Importe de hipotecas;2011M11;20.877
25 Lleida;Viviendas;Importe de hipotecas;2011M10;22.016
25 Lleida;Viviendas;Importe de hipotecas;2011M09;21.478
25 Lleida;Viviendas;Importe de hipotecas;2011M08;20.845
25 Lleida;Viviendas;Importe de hipotecas;2011M07;23.102
25 Lleida;Viviendas;Importe de hipotecas;2011M06;18.013
25 Lleida;Viviendas;Importe de hipotecas;2011M05;36.364
25 Lleida;Viviendas;Importe de hipotecas;2011M04;29.865
25 Lleida;Viviendas;Importe de hipotecas;2011M03;37.724
25 Lleida;Viviendas;Importe de hipotecas;2011M02;43.676
25 Lleida;Viviendas;Importe de hipotecas;2011M01;28.878
25 Lleida;Viviendas;Importe de hipotecas;2010M12;37.076
25 Lleida;Viviendas;Importe de hipotecas;2010M11;29.526
25 Lleida;Viviendas;Importe de hipotecas;2010M10;36.916
25 Lleida;Viviendas;Importe de hipotecas;2010M09;42.545
25 Lleida;Viviendas;Importe de hipotecas;2010M08;47.627
25 Lleida;Viviendas;Importe de hipotecas;2010M07;88.196
25 Lleida;Viviendas;Importe de hipotecas;2010M06;38.998
25 Lleida;Viviendas;Importe de hipotecas;2010M05;31.993
25 Lleida;Viviendas;Importe de hipotecas;2010M04;33.802
25 Lleida;Viviendas;Importe de hipotecas;2010M03;47.760
25 Lleida;Viviendas;Importe de hipotecas;2010M02;51.937
25 Lleida;Viviendas;Importe de hipotecas;2010M01;54.324
25 Lleida;Viviendas;Importe de hipotecas;2009M12;50.468
25 Lleida;Viviendas;Importe de hipotecas;2009M11;58.761
25 Lleida;Viviendas;Importe de hipotecas;2009M10;38.744
25 Lleida;Viviendas;Importe de hipotecas;2009M09;57.634
25 Lleida;Viviendas;Importe de hipotecas;2009M08;60.998
25 Lleida;Viviendas;Importe de hipotecas;2009M07;63.531
25 Lleida;Viviendas;Importe de hipotecas;2009M06;79.797
25 Lleida;Viviendas;Importe de hipotecas;2009M05;68.159
25 Lleida;Viviendas;Importe de hipotecas;2009M04;47.603
25 Lleida;Viviendas;Importe de hipotecas;2009M03;50.415
25 Lleida;Viviendas;Importe de hipotecas;2009M02;59.647
25 Lleida;Viviendas;Importe de hipotecas;2009M01;55.574
25 Lleida;Viviendas;Importe de hipotecas;2008M12;75.813
25 Lleida;Viviendas;Importe de hipotecas;2008M11;55.008
25 Lleida;Viviendas;Importe de hipotecas;2008M10;56.045
25 Lleida;Viviendas;Importe de hipotecas;2008M09;66.549
25 Lleida;Viviendas;Importe de hipotecas;2008M08;69.227
25 Lleida;Viviendas;Importe de hipotecas;2008M07;93.461
25 Lleida;Viviendas;Importe de hipotecas;2008M06;79.420
25 Lleida;Viviendas;Importe de hipotecas;2008M05;101.038
25 Lleida;Viviendas;Importe de hipotecas;2008M04;96.700
25 Lleida;Viviendas;Importe de hipotecas;2008M03;103.974
25 Lleida;Viviendas;Importe de hipotecas;2008M02;129.173
25 Lleida;Viviendas;Importe de hipotecas;2008M01;125.844
25 Lleida;Viviendas;Importe de hipotecas;2007M12;112.593
25 Lleida;Viviendas;Importe de hipotecas;2007M11;139.476
25 Lleida;Viviendas;Importe de hipotecas;2007M10;119.768
25 Lleida;Viviendas;Importe de hipotecas;2007M09;170.255
25 Lleida;Viviendas;Importe de hipotecas;2007M08;158.120
25 Lleida;Viviendas;Importe de hipotecas;2007M07;161.945
25 Lleida;Viviendas;Importe de hipotecas;2007M06;174.580
25 Lleida;Viviendas;Importe de hipotecas;2007M05;201.425
25 Lleida;Viviendas;Importe de hipotecas;2007M04;146.990
25 Lleida;Viviendas;Importe de hipotecas;2007M03;186.835
25 Lleida;Viviendas;Importe de hipotecas;2007M02;172.052
25 Lleida;Viviendas;Importe de hipotecas;2007M01;208.681
25 Lleida;Viviendas;Importe de hipotecas;2006M12;142.569
25 Lleida;Viviendas;Importe de hipotecas;2006M11;159.733
25 Lleida;Viviendas;Importe de hipotecas;2006M10;157.217
25 Lleida;Viviendas;Importe de hipotecas;2006M09;154.133
25 Lleida;Viviendas;Importe de hipotecas;2006M08;152.387
25 Lleida;Viviendas;Importe de hipotecas;2006M07;165.632
25 Lleida;Viviendas;Importe de hipotecas;2006M06;154.155
25 Lleida;Viviendas;Importe de hipotecas;2006M05;159.801
25 Lleida;Viviendas;Importe de hipotecas;2006M04;125.356
25 Lleida;Viviendas;Importe de hipotecas;2006M03;170.636
25 Lleida;Viviendas;Importe de hipotecas;2006M02;125.360
25 Lleida;Viviendas;Importe de hipotecas;2006M01;128.780
25 Lleida;Viviendas;Importe de hipotecas;2005M12;139.157
25 Lleida;Viviendas;Importe de hipotecas;2005M11;132.510
25 Lleida;Viviendas;Importe de hipotecas;2005M10;116.386
25 Lleida;Viviendas;Importe de hipotecas;2005M09;114.947
25 Lleida;Viviendas;Importe de hipotecas;2005M08;85.729
25 Lleida;Viviendas;Importe de hipotecas;2005M07;87.891
25 Lleida;Viviendas;Importe de hipotecas;2005M06;102.642
25 Lleida;Viviendas;Importe de hipotecas;2005M05;117.451
25 Lleida;Viviendas;Importe de hipotecas;2005M04;115.037
25 Lleida;Viviendas;Importe de hipotecas;2005M03;99.792
25 Lleida;Viviendas;Importe de hipotecas;2005M02;121.290
25 Lleida;Viviendas;Importe de hipotecas;2005M01;94.650
25 Lleida;Viviendas;Importe de hipotecas;2004M12;83.362
25 Lleida;Viviendas;Importe de hipotecas;2004M11;90.574
25 Lleida;Viviendas;Importe de hipotecas;2004M10;105.383
25 Lleida;Viviendas;Importe de hipotecas;2004M09;70.489
25 Lleida;Viviendas;Importe de hipotecas;2004M08;96.044
25 Lleida;Viviendas;Importe de hipotecas;2004M07;84.490
25 Lleida;Viviendas;Importe de hipotecas;2004M06;76.280
25 Lleida;Viviendas;Importe de hipotecas;2004M05;58.931
25 Lleida;Viviendas;Importe de hipotecas;2004M04;48.773
25 Lleida;Viviendas;Importe de hipotecas;2004M03;96.283
25 Lleida;Viviendas;Importe de hipotecas;2004M02;51.907
25 Lleida;Viviendas;Importe de hipotecas;2004M01;61.112
25 Lleida;Viviendas;Importe de hipotecas;2003M12;44.420
25 Lleida;Viviendas;Importe de hipotecas;2003M11;68.122
25 Lleida;Viviendas;Importe de hipotecas;2003M10;72.295
25 Lleida;Viviendas;Importe de hipotecas;2003M09;56.162
25 Lleida;Viviendas;Importe de hipotecas;2003M08;48.129
25 Lleida;Viviendas;Importe de hipotecas;2003M07;65.077
25 Lleida;Viviendas;Importe de hipotecas;2003M06;63.735
25 Lleida;Viviendas;Importe de hipotecas;2003M05;30.628
25 Lleida;Viviendas;Importe de hipotecas;2003M04;50.780
25 Lleida;Viviendas;Importe de hipotecas;2003M03;65.261
25 Lleida;Viviendas;Importe de hipotecas;2003M02;55.524
25 Lleida;Viviendas;Importe de hipotecas;2003M01;58.506
27 Lugo;Viviendas;Número de hipotecas;2026M02;156
27 Lugo;Viviendas;Número de hipotecas;2026M01;224
27 Lugo;Viviendas;Número de hipotecas;2025M12;145
27 Lugo;Viviendas;Número de hipotecas;2025M11;251
27 Lugo;Viviendas;Número de hipotecas;2025M10;205
27 Lugo;Viviendas;Número de hipotecas;2025M09;388
27 Lugo;Viviendas;Número de hipotecas;2025M08;154
27 Lugo;Viviendas;Número de hipotecas;2025M07;167
27 Lugo;Viviendas;Número de hipotecas;2025M06;84
27 Lugo;Viviendas;Número de hipotecas;2025M05;156
27 Lugo;Viviendas;Número de hipotecas;2025M04;211
27 Lugo;Viviendas;Número de hipotecas;2025M03;181
27 Lugo;Viviendas;Número de hipotecas;2025M02;159
27 Lugo;Viviendas;Número de hipotecas;2025M01;126
27 Lugo;Viviendas;Número de hipotecas;2024M12;135
27 Lugo;Viviendas;Número de hipotecas;2024M11;115
27 Lugo;Viviendas;Número de hipotecas;2024M10;142
27 Lugo;Viviendas;Número de hipotecas;2024M09;138
27 Lugo;Viviendas;Número de hipotecas;2024M08;95
27 Lugo;Viviendas;Número de hipotecas;2024M07;101
27 Lugo;Viviendas;Número de hipotecas;2024M06;159
27 Lugo;Viviendas;Número de hipotecas;2024M05;68
27 Lugo;Viviendas;Número de hipotecas;2024M04;127
27 Lugo;Viviendas;Número de hipotecas;2024M03;104
27 Lugo;Viviendas;Número de hipotecas;2024M02;148
27 Lugo;Viviendas;Número de hipotecas;2024M01;144
27 Lugo;Viviendas;Número de hipotecas;2023M12;88
27 Lugo;Viviendas;Número de hipotecas;2023M11;90
27 Lugo;Viviendas;Número de hipotecas;2023M10;106
27 Lugo;Viviendas;Número de hipotecas;2023M09;56
27 Lugo;Viviendas;Número de hipotecas;2023M08;76
27 Lugo;Viviendas;Número de hipotecas;2023M07;68
27 Lugo;Viviendas;Número de hipotecas;2023M06;99
27 Lugo;Viviendas;Número de hipotecas;2023M05;144
27 Lugo;Viviendas;Número de hipotecas;2023M04;99
27 Lugo;Viviendas;Número de hipotecas;2023M03;98
27 Lugo;Viviendas;Número de hipotecas;2023M02;80
27 Lugo;Viviendas;Número de hipotecas;2023M01;104
27 Lugo;Viviendas;Número de hipotecas;2022M12;101
27 Lugo;Viviendas;Número de hipotecas;2022M11;147
27 Lugo;Viviendas;Número de hipotecas;2022M10;115
27 Lugo;Viviendas;Número de hipotecas;2022M09;160
27 Lugo;Viviendas;Número de hipotecas;2022M08;138
27 Lugo;Viviendas;Número de hipotecas;2022M07;137
27 Lugo;Viviendas;Número de hipotecas;2022M06;117
27 Lugo;Viviendas;Número de hipotecas;2022M05;130
27 Lugo;Viviendas;Número de hipotecas;2022M04;122
27 Lugo;Viviendas;Número de hipotecas;2022M03;140
27 Lugo;Viviendas;Número de hipotecas;2022M02;124
27 Lugo;Viviendas;Número de hipotecas;2022M01;151
27 Lugo;Viviendas;Número de hipotecas;2021M12;149
27 Lugo;Viviendas;Número de hipotecas;2021M11;133
27 Lugo;Viviendas;Número de hipotecas;2021M10;127
27 Lugo;Viviendas;Número de hipotecas;2021M09;131
27 Lugo;Viviendas;Número de hipotecas;2021M08;97
27 Lugo;Viviendas;Número de hipotecas;2021M07;124
27 Lugo;Viviendas;Número de hipotecas;2021M06;80
27 Lugo;Viviendas;Número de hipotecas;2021M05;110
27 Lugo;Viviendas;Número de hipotecas;2021M04;98
27 Lugo;Viviendas;Número de hipotecas;2021M03;106
27 Lugo;Viviendas;Número de hipotecas;2021M02;164
27 Lugo;Viviendas;Número de hipotecas;2021M01;101
27 Lugo;Viviendas;Número de hipotecas;2020M12;84
27 Lugo;Viviendas;Número de hipotecas;2020M11;105
27 Lugo;Viviendas;Número de hipotecas;2020M10;75
27 Lugo;Viviendas;Número de hipotecas;2020M09;68
27 Lugo;Viviendas;Número de hipotecas;2020M08;101
27 Lugo;Viviendas;Número de hipotecas;2020M07;65
27 Lugo;Viviendas;Número de hipotecas;2020M06;80
27 Lugo;Viviendas;Número de hipotecas;2020M05;63
27 Lugo;Viviendas;Número de hipotecas;2020M04;97
27 Lugo;Viviendas;Número de hipotecas;2020M03;114
27 Lugo;Viviendas;Número de hipotecas;2020M02;86
27 Lugo;Viviendas;Número de hipotecas;2020M01;108
27 Lugo;Viviendas;Número de hipotecas;2019M12;76
27 Lugo;Viviendas;Número de hipotecas;2019M11;134
27 Lugo;Viviendas;Número de hipotecas;2019M10;71
27 Lugo;Viviendas;Número de hipotecas;2019M09;42
27 Lugo;Viviendas;Número de hipotecas;2019M08;84
27 Lugo;Viviendas;Número de hipotecas;2019M07;125
27 Lugo;Viviendas;Número de hipotecas;2019M06;92
27 Lugo;Viviendas;Número de hipotecas;2019M05;79
27 Lugo;Viviendas;Número de hipotecas;2019M04;73
27 Lugo;Viviendas;Número de hipotecas;2019M03;76
27 Lugo;Viviendas;Número de hipotecas;2019M02;93
27 Lugo;Viviendas;Número de hipotecas;2019M01;106
27 Lugo;Viviendas;Número de hipotecas;2018M12;68
27 Lugo;Viviendas;Número de hipotecas;2018M11;76
27 Lugo;Viviendas;Número de hipotecas;2018M10;74
27 Lugo;Viviendas;Número de hipotecas;2018M09;97
27 Lugo;Viviendas;Número de hipotecas;2018M08;107
27 Lugo;Viviendas;Número de hipotecas;2018M07;76
27 Lugo;Viviendas;Número de hipotecas;2018M06;94
27 Lugo;Viviendas;Número de hipotecas;2018M05;93
27 Lugo;Viviendas;Número de hipotecas;2018M04;92
27 Lugo;Viviendas;Número de hipotecas;2018M03;91
27 Lugo;Viviendas;Número de hipotecas;2018M02;96
27 Lugo;Viviendas;Número de hipotecas;2018M01;106
27 Lugo;Viviendas;Número de hipotecas;2017M12;60
27 Lugo;Viviendas;Número de hipotecas;2017M11;73
27 Lugo;Viviendas;Número de hipotecas;2017M10;83
27 Lugo;Viviendas;Número de hipotecas;2017M09;77
27 Lugo;Viviendas;Número de hipotecas;2017M08;99
27 Lugo;Viviendas;Número de hipotecas;2017M07;65
27 Lugo;Viviendas;Número de hipotecas;2017M06;162
27 Lugo;Viviendas;Número de hipotecas;2017M05;89
27 Lugo;Viviendas;Número de hipotecas;2017M04;87
27 Lugo;Viviendas;Número de hipotecas;2017M03;105
27 Lugo;Viviendas;Número de hipotecas;2017M02;112
27 Lugo;Viviendas;Número de hipotecas;2017M01;98
27 Lugo;Viviendas;Número de hipotecas;2016M12;56
27 Lugo;Viviendas;Número de hipotecas;2016M11;90
27 Lugo;Viviendas;Número de hipotecas;2016M10;74
27 Lugo;Viviendas;Número de hipotecas;2016M09;95
27 Lugo;Viviendas;Número de hipotecas;2016M08;99
27 Lugo;Viviendas;Número de hipotecas;2016M07;90
27 Lugo;Viviendas;Número de hipotecas;2016M06;130
27 Lugo;Viviendas;Número de hipotecas;2016M05;201
27 Lugo;Viviendas;Número de hipotecas;2016M04;97
27 Lugo;Viviendas;Número de hipotecas;2016M03;78
27 Lugo;Viviendas;Número de hipotecas;2016M02;122
27 Lugo;Viviendas;Número de hipotecas;2016M01;74
27 Lugo;Viviendas;Número de hipotecas;2015M12;85
27 Lugo;Viviendas;Número de hipotecas;2015M11;85
27 Lugo;Viviendas;Número de hipotecas;2015M10;82
27 Lugo;Viviendas;Número de hipotecas;2015M09;87
27 Lugo;Viviendas;Número de hipotecas;2015M08;102
27 Lugo;Viviendas;Número de hipotecas;2015M07;82
27 Lugo;Viviendas;Número de hipotecas;2015M06;112
27 Lugo;Viviendas;Número de hipotecas;2015M05;84
27 Lugo;Viviendas;Número de hipotecas;2015M04;73
27 Lugo;Viviendas;Número de hipotecas;2015M03;75
27 Lugo;Viviendas;Número de hipotecas;2015M02;70
27 Lugo;Viviendas;Número de hipotecas;2015M01;78
27 Lugo;Viviendas;Número de hipotecas;2014M12;82
27 Lugo;Viviendas;Número de hipotecas;2014M11;90
27 Lugo;Viviendas;Número de hipotecas;2014M10;91
27 Lugo;Viviendas;Número de hipotecas;2014M09;93
27 Lugo;Viviendas;Número de hipotecas;2014M08;58
